column,expected,pre_actual,post_actual,action,ok,n_coercion_fail,error
customerID,string,string,string,astype->string,True,0,
Churn_flag,Int64,Int64,Int64,astype->Int64,True,0,
SeniorCitizen,Int64,Int64,Int64,astype->Int64,True,0,
tenure,Int64,Int64,Int64,astype->Int64,True,0,
MonthlyCharges,float64,float64,float64,astype->float64,True,0,
TotalCharges,float64,float64,float64,astype->float64,True,0,
gender,string,string,string,astype->string,True,0,
Partner,string,string,string,astype->string,True,0,
Dependents,string,string,string,astype->string,True,0,
PhoneService,string,string,string,astype->string,True,0,
MultipleLines,string,string,string,astype->string,True,0,
InternetService,string,string,string,astype->string,True,0,
OnlineSecurity,string,string,string,astype->string,True,0,
OnlineBackup,string,string,string,astype->string,True,0,
DeviceProtection,string,string,string,astype->string,True,0,
TechSupport,string,string,string,astype->string,True,0,
StreamingTV,string,string,string,astype->string,True,0,
StreamingMovies,string,string,string,astype->string,True,0,
Contract,string,string,string,astype->string,True,0,
PaperlessBilling,string,string,string,astype->string,True,0,
PaymentMethod,string,string,string,astype->string,True,0,
Churn,string,string,string,astype->string,True,0,
