column,dtype,feature_group,n_unique,protected,notes
customerID,category,id,1,True,ID / key candidate
Churn_flag,Int64,numeric_flag,2,False,numeric small-card (n_unique=2 ≤ 20)
SeniorCitizen,Int64,numeric_flag,2,False,numeric small-card (n_unique=2 ≤ 20)
Senior_flag,boolean,numeric_flag,2,False,bool → treated as flag
expected_total_for_zero_tenure,float64,numeric_flag,0,False,numeric small-card (n_unique=0 ≤ 20)
MonthlyCharges,float64,numeric_continuous,1529,False,numeric continuous / high-card
TotalCharges,float64,numeric_continuous,6441,False,numeric continuous / high-card
expected_min_total_from_contract,float64,numeric_continuous,1171,False,numeric continuous / high-card
expected_total_from_payment_profile,Float64,numeric_continuous,5985,False,numeric continuous / high-card
expected_total_from_tenure_monthly,Float64,numeric_continuous,5985,False,numeric continuous / high-card
expected_total_senior,float64,numeric_continuous,1111,False,numeric continuous / high-card
tenure,Int64,numeric_continuous,72,False,numeric continuous / high-card
Churn,category,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
Contract,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
Dependents,category,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
DeviceProtection,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
InternetService,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
MultipleLines,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
OnlineBackup,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
OnlineSecurity,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
PaperlessBilling,category,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
Partner,category,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
PaymentMethod,category,categorical_low_card,4,False,low-card categorical (n_unique=4 ≤ 20)
PhoneService,category,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
SeniorCitizen_flag_text,category,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
StreamingMovies,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
StreamingTV,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
TechSupport,category,categorical_low_card,3,False,low-card categorical (n_unique=3 ≤ 20)
gender,category,categorical_low_card,2,False,low-card categorical (n_unique=2 ≤ 20)
