column,role,feature_group,dtype,n_unique,is_protected,notes
Contract,feature,categorical_low_card,category,3,False,
Dependents,feature,categorical_low_card,category,2,False,
DeviceProtection,feature,categorical_low_card,category,3,False,
InternetService,feature,categorical_low_card,category,3,False,
MultipleLines,feature,categorical_low_card,category,3,False,
OnlineBackup,feature,categorical_low_card,category,3,False,
OnlineSecurity,feature,categorical_low_card,category,3,False,
PaperlessBilling,feature,categorical_low_card,category,2,False,
Partner,feature,categorical_low_card,category,2,False,
PaymentMethod,feature,categorical_low_card,category,4,False,
PhoneService,feature,categorical_low_card,category,2,False,
SeniorCitizen_flag_text,feature,categorical_low_card,category,2,False,
StreamingMovies,feature,categorical_low_card,category,3,False,
StreamingTV,feature,categorical_low_card,category,3,False,
TechSupport,feature,categorical_low_card,category,3,False,
customerID,feature,categorical_low_card,category,1,True,protected
gender,feature,categorical_low_card,category,2,False,
MonthlyCharges,feature,numeric_continuous,float64,1529,False,
TotalCharges,feature,numeric_continuous,float64,6441,False,
expected_min_total_from_contract,feature,numeric_continuous,float64,1171,False,
expected_total_for_zero_tenure,feature,numeric_continuous,float64,0,False,
expected_total_from_payment_profile,feature,numeric_continuous,Float64,5985,False,
expected_total_from_tenure_monthly,feature,numeric_continuous,Float64,5985,False,
expected_total_senior,feature,numeric_continuous,float64,1111,False,
tenure,feature,numeric_continuous,Int64,72,False,
SeniorCitizen,feature,numeric_flag,Int64,2,False,special_numeric_flag:categorical_int
Senior_flag,feature,numeric_flag,boolean,2,False,
Churn_flag,target,target,Int8,2,True,protected
Churn,target_aux,target_aux,category,2,True,protected
