column,in_expected,in_actual,status,renamed_from,renamed_to,note
Churn,False,True,unexpected,,,
Churn_flag,False,True,unexpected,,,
Contract,False,True,unexpected,,,
Dependents,False,True,unexpected,,,
DeviceProtection,False,True,unexpected,,,
InternetService,False,True,unexpected,,,
MonthlyCharges,False,True,unexpected,,,
MultipleLines,False,True,unexpected,,,
OnlineBackup,False,True,unexpected,,,
OnlineSecurity,False,True,unexpected,,,
PaperlessBilling,False,True,unexpected,,,
Partner,False,True,unexpected,,,
PaymentMethod,False,True,unexpected,,,
PhoneService,False,True,unexpected,,,
SeniorCitizen,False,True,unexpected,,,
SeniorCitizen_flag_text,False,True,unexpected,,,
Senior_flag,False,True,unexpected,,,
StreamingMovies,False,True,unexpected,,,
StreamingTV,False,True,unexpected,,,
TechSupport,False,True,unexpected,,,
TotalCharges,False,True,unexpected,,,
customerID,False,True,unexpected,,,
expected_min_total_from_contract,False,True,unexpected,,,
expected_total_for_zero_tenure,False,True,unexpected,,,
expected_total_from_payment_profile,False,True,unexpected,,,
expected_total_from_tenure_monthly,False,True,unexpected,,,
expected_total_senior,False,True,unexpected,,,
gender,False,True,unexpected,,,
tenure,False,True,unexpected,,,
