column,role,feature_group,dtype_x,n_unique_x,is_protected,notes,n_unique_y,unique_ratio,is_constant,high_cardinality,dtype_y,n_rows,n_null,pct_null,n_blank,pct_blank,n_non_null_non_blank,numeric_kind
MonthlyCharges,feature,numeric_continuous,float64,1585,False,,1585,0.225046,False,False,float64,7043,0,0.0,0,0.0,7043,continuous
TotalCharges,feature,numeric_continuous,float64,6530,False,,6530,0.927162,False,True,float64,7043,11,0.1562,0,0.0,7032,continuous
tenure,feature,numeric_continuous,Int64,73,False,,73,0.010365,False,False,Int64,7043,0,0.0,0,0.0,7043,continuous
SeniorCitizen,feature,numeric_flag,Int64,2,False,special_numeric_flag:categorical_int,2,0.000284,False,False,Int64,7043,0,0.0,0,0.0,7043,binary_numeric
Contract,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
Dependents,feature,other,string,2,False,,2,0.000284,False,False,string,7043,0,0.0,0,0.0,7043,
DeviceProtection,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
InternetService,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
MultipleLines,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
OnlineBackup,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
OnlineSecurity,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
PaperlessBilling,feature,other,string,2,False,,2,0.000284,False,False,string,7043,0,0.0,0,0.0,7043,
Partner,feature,other,string,2,False,,2,0.000284,False,False,string,7043,0,0.0,0,0.0,7043,
PaymentMethod,feature,other,string,4,False,,4,0.000568,False,False,string,7043,0,0.0,0,0.0,7043,
PhoneService,feature,other,string,2,False,,2,0.000284,False,False,string,7043,0,0.0,0,0.0,7043,
StreamingMovies,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
StreamingTV,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
TechSupport,feature,other,string,3,False,,3,0.000426,False,False,string,7043,0,0.0,0,0.0,7043,
gender,feature,other,string,2,False,,2,0.000284,False,False,string,7043,0,0.0,0,0.0,7043,
customerID,id,id,string,7043,True,protected,7043,1.0,False,True,string,7043,0,0.0,0,0.0,7043,
Churn_flag,target,target,Int64,2,True,protected,2,0.000284,False,False,Int64,7043,0,0.0,0,0.0,7043,binary_numeric
Churn,target_aux,target_aux,string,2,True,protected,2,0.000284,False,False,string,7043,0,0.0,0,0.0,7043,
