feature_1,feature_2,method,correlation_value
tenure,tenure,pearson,1.0
tenure,MonthlyCharges,pearson,0.24739730649886224
tenure,TotalCharges,pearson,0.8261505451675404
tenure,expected_total_from_tenure_monthly,pearson,0.8272083930278802
tenure,expected_total_for_zero_tenure,pearson,
tenure,expected_min_total_from_contract,pearson,0.6482439482130634
tenure,expected_total_senior,pearson,0.9018431515961279
tenure,expected_total_from_payment_profile,pearson,0.8272083930278802
tenure,total_charges_per_month,pearson,0.07741960595886457
MonthlyCharges,MonthlyCharges,pearson,1.0
MonthlyCharges,TotalCharges,pearson,0.6502871926213358
MonthlyCharges,expected_total_from_tenure_monthly,pearson,0.6509204065664298
MonthlyCharges,expected_total_for_zero_tenure,pearson,
MonthlyCharges,expected_min_total_from_contract,pearson,0.38512502412257626
MonthlyCharges,expected_total_senior,pearson,0.5808351487210008
MonthlyCharges,expected_total_from_payment_profile,pearson,0.6509204065664298
MonthlyCharges,total_charges_per_month,pearson,0.4674198245082486
TotalCharges,TotalCharges,pearson,1.0
TotalCharges,expected_total_from_tenure_monthly,pearson,0.999289678433929
TotalCharges,expected_total_for_zero_tenure,pearson,
TotalCharges,expected_min_total_from_contract,pearson,0.7358493225174373
TotalCharges,expected_total_senior,pearson,0.9995111749209356
TotalCharges,expected_total_from_payment_profile,pearson,0.999289678433929
TotalCharges,total_charges_per_month,pearson,0.3087823071371988
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,pearson,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,pearson,
expected_total_from_tenure_monthly,expected_min_total_from_contract,pearson,0.7351084660146627
expected_total_from_tenure_monthly,expected_total_senior,pearson,0.999993297013643
expected_total_from_tenure_monthly,expected_total_from_payment_profile,pearson,1.0
expected_total_from_tenure_monthly,total_charges_per_month,pearson,0.287306311502473
expected_total_for_zero_tenure,expected_total_for_zero_tenure,pearson,
expected_total_for_zero_tenure,expected_min_total_from_contract,pearson,
expected_total_for_zero_tenure,expected_total_senior,pearson,
expected_total_for_zero_tenure,expected_total_from_payment_profile,pearson,
expected_total_for_zero_tenure,total_charges_per_month,pearson,
expected_min_total_from_contract,expected_min_total_from_contract,pearson,1.0
expected_min_total_from_contract,expected_total_senior,pearson,0.6793083271580885
expected_min_total_from_contract,expected_total_from_payment_profile,pearson,0.7351084660146627
expected_min_total_from_contract,total_charges_per_month,pearson,0.2022325288585616
expected_total_senior,expected_total_senior,pearson,1.0
expected_total_senior,expected_total_from_payment_profile,pearson,0.999993297013643
expected_total_senior,total_charges_per_month,pearson,0.5784158886784982
expected_total_from_payment_profile,expected_total_from_payment_profile,pearson,1.0
expected_total_from_payment_profile,total_charges_per_month,pearson,0.287306311502473
total_charges_per_month,total_charges_per_month,pearson,1.0
tenure,tenure,spearman,1.0
tenure,MonthlyCharges,spearman,0.27634951467339053
tenure,TotalCharges,spearman,0.8873795923254663
tenure,expected_total_from_tenure_monthly,spearman,0.8900492708005951
tenure,expected_total_for_zero_tenure,spearman,
tenure,expected_min_total_from_contract,spearman,0.6729071964581343
tenure,expected_total_senior,spearman,0.9275190083993357
tenure,expected_total_from_payment_profile,spearman,0.8900492708005951
tenure,total_charges_per_month,spearman,0.2661783516408454
MonthlyCharges,MonthlyCharges,spearman,1.0
MonthlyCharges,TotalCharges,spearman,0.637456887807472
MonthlyCharges,expected_total_from_tenure_monthly,spearman,0.6384108063775485
MonthlyCharges,expected_total_for_zero_tenure,spearman,
MonthlyCharges,expected_min_total_from_contract,spearman,0.20725854677400354
MonthlyCharges,expected_total_senior,spearman,0.628179532134326
MonthlyCharges,expected_total_from_payment_profile,spearman,0.6384108063775485
MonthlyCharges,total_charges_per_month,spearman,0.9864439060820251
TotalCharges,TotalCharges,spearman,1.0
TotalCharges,expected_total_from_tenure_monthly,spearman,0.9976240232204451
TotalCharges,expected_total_for_zero_tenure,spearman,
