group_feature,numeric_feature,method,statistic,p_value,significant,notes,n_total,k_groups,df_between,df_within,ss_between,ss_within,ss_total,eta_squared
gender,tenure,ANOVA,0.18399119852151938,0.6679785916861012,False,,7043.0,2.0,1.0,7041.0,110.97216201336911,4246697.662794681,4246808.634956694,2.613071874723188e-05
gender,tenure,KRUSKAL,0.08579459977434807,0.7695931218868794,False,,,,,,,,,
gender,MonthlyCharges,ANOVA,1.4858266478556317,0.22290594544454972,False,,7043.0,2.0,1.0,7041.0,1342.7566814299407,6363023.443947975,6364366.200629405,0.00021098042430323205
gender,MonthlyCharges,KRUSKAL,1.3331362140884433,0.2482480475318829,False,,,,,,,,,
gender,TotalCharges,ANOVA,4.343650500951582e-06,0.9983371550052766,False,,7043.0,2.0,1.0,7041.0,22.189505300307275,35968894547.48993,35968894569.679436,6.169081804090882e-10
gender,TotalCharges,KRUSKAL,0.013808892767344986,0.9064549333391331,False,,,,,,,,,
gender,expected_total_from_tenure_monthly,ANOVA,1.770870108584192e-05,0.99664249463964,False,,7043.0,2.0,1.0,7041.0,90.38576203126537,35937483352.30432,35937483442.69009,2.515083232675559e-09
gender,expected_total_from_tenure_monthly,KRUSKAL,0.007901074941323045,0.929170927577545,False,,,,,,,,,
gender,expected_total_for_zero_tenure,ANOVA,,,False,imbalanced groups,11.0,2.0,1.0,9.0,0.0,0.0,0.0,
gender,expected_total_for_zero_tenure,KRUSKAL,,,False,ERROR: All numbers are identical in kruskal,,,,,,,,
gender,expected_min_total_from_contract,ANOVA,0.1376146322144668,0.7106751616274172,False,,7043.0,2.0,1.0,7041.0,203.1199942177275,10392556.78173913,10392759.901733348,1.95443747511044e-05
gender,expected_min_total_from_contract,KRUSKAL,0.015897313104292113,0.8996649992019711,False,,,,,,,,,
gender,expected_total_senior,ANOVA,0.17684009348269542,0.6741822519159026,False,,1142.0,2.0,1.0,1140.0,981400.3773947236,6326599405.125679,6327580805.503074,0.00015509882964136992
gender,expected_total_senior,KRUSKAL,2.99554263451624e-05,0.9956330758784313,False,,,,,,,,,
gender,expected_total_from_payment_profile,ANOVA,1.770870108584192e-05,0.99664249463964,False,,7043.0,2.0,1.0,7041.0,90.38576203126537,35937483352.30432,35937483442.69009,2.515083232675559e-09
gender,expected_total_from_payment_profile,KRUSKAL,0.007901074941323045,0.929170927577545,False,,,,,,,,,
gender,total_charges_per_month,ANOVA,1.4960403481195972,0.22132256031899264,False,,7043.0,2.0,1.0,7041.0,1359.9831598718833,6400657.201989166,6402017.185149038,0.0002124304138118653
gender,total_charges_per_month,KRUSKAL,1.5940241676731253,0.20675213344663687,False,,,,,,,,,
SeniorCitizen,tenure,ANOVA,1.9268064869607664,0.16515217318125727,False,,7043.0,2.0,1.0,7041.0,1161.843456782585,4245646.791499912,4246808.634956694,0.0002735803650814684
SeniorCitizen,tenure,KRUSKAL,2.401347394508528,0.12123079310052007,False,,,,,,,,,
