feature_1,feature_2,method,correlation_value
tenure,tenure,pearson,1.0
tenure,MonthlyCharges,pearson,0.2474036864468571
tenure,TotalCharges,pearson,0.8268158263084401
tenure,expected_total_from_tenure_monthly,pearson,0.8270930602398978
tenure,expected_total_for_zero_tenure,pearson,
tenure,expected_min_total_from_contract,pearson,0.6503522143762905
tenure,expected_total_senior,pearson,0.901739060459639
tenure,expected_total_from_payment_profile,pearson,0.8270930602398978
tenure,total_charges_per_month,pearson,0.2469346714074775
MonthlyCharges,MonthlyCharges,pearson,1.0
MonthlyCharges,TotalCharges,pearson,0.6506044595624157
MonthlyCharges,expected_total_from_tenure_monthly,pearson,0.6509807454198602
MonthlyCharges,expected_total_for_zero_tenure,pearson,
MonthlyCharges,expected_min_total_from_contract,pearson,0.385768875458011
MonthlyCharges,expected_total_senior,pearson,0.5809617160669885
MonthlyCharges,expected_total_from_payment_profile,pearson,0.6509807454198602
MonthlyCharges,total_charges_per_month,pearson,0.9953676920597838
TotalCharges,TotalCharges,pearson,1.0
TotalCharges,expected_total_from_tenure_monthly,pearson,0.9995762434248234
TotalCharges,expected_total_for_zero_tenure,pearson,
TotalCharges,expected_min_total_from_contract,pearson,0.7366983519672962
TotalCharges,expected_total_senior,pearson,0.9995157980126987
TotalCharges,expected_total_from_payment_profile,pearson,0.9995762434248234
TotalCharges,total_charges_per_month,pearson,0.6498313252223346
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,pearson,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,pearson,
expected_total_from_tenure_monthly,expected_min_total_from_contract,pearson,0.7367976122604283
expected_total_from_tenure_monthly,expected_total_senior,pearson,0.9999945897853122
expected_total_from_tenure_monthly,expected_total_from_payment_profile,pearson,1.0
expected_total_from_tenure_monthly,total_charges_per_month,pearson,0.6485388232130165
expected_total_for_zero_tenure,expected_total_for_zero_tenure,pearson,
expected_total_for_zero_tenure,expected_min_total_from_contract,pearson,
expected_total_for_zero_tenure,expected_total_senior,pearson,
expected_total_for_zero_tenure,expected_total_from_payment_profile,pearson,
