source_section,source_file,test_family,test_name,test_type,outcome_col,group_col,effect_type,effect_value,effect_value_signed,effect_abs,effect_band,magnitude_label,p_value,statistic,n_total,notes,p_value_display
2.7.5,t_test_results.csv,parametric,Month_to_month_vs_Two_year_MonthlyCharges,independent,MonthlyCharges,Contract,cohens_d,0.19226304189970034,0.19226304189970034,0.19226304189970034,small,small,2.3261168626059997e-09,5.9941213996815748,5570,Cohen's d from pooled SD (independent t-test),2.3261168626059997e-09
2.7.5,t_test_results.csv,parametric,Churner_vs_NonChurner_TotalCharges,independent,TotalCharges,Churn,cohens_d,-0.45829711504078208,-0.45829711504078208,0.45829711504078208,small/medium,small/medium,8.4098530467265057e-75,-18.687191430492021,7043,Cohen's d from pooled SD (independent t-test),8.4098530467265057e-75
2.7.7,chi_square_results.csv,categorical_assoc,Contract__Churn,chi_square,Churn,Contract,cramers_v,0.41011569657614089,0.41011569657614089,0.41011569657614089,medium,medium,5.8630383006733913e-258,1184.5965720837926,7043,"Cramér's V (r=3, c=2)",5.8630383006733913e-258
2.7.7,chi_square_results.csv,categorical_assoc,PaymentMethod__Churn,chi_square,Churn,PaymentMethod,cramers_v,0.30335862555407056,0.30335862555407056,0.30335862555407056,medium,medium,3.6823546520097993e-140,648.1423274814,7043,"Cramér's V (r=4, c=2)",3.6823546520097993e-140
2.7.7,chi_square_results.csv,categorical_assoc,InternetService__Churn,chi_square,Churn,InternetService,cramers_v,0.32245455521230887,0.32245455521230887,0.32245455521230887,medium,medium,9.5717882228405444e-160,732.30958966779394,7043,"Cramér's V (r=3, c=2)",9.5717882228405444e-160
2.7.7,chi_square_results.csv,categorical_assoc,SeniorCitizen__Churn,chi_square_2x2,Churn,SeniorCitizen,phi,0.15045309974200427,0.15045309974200427,0.15045309974200427,small,small,1.5100668050923782e-36,159.42630036838742,7043,Phi coefficient for 2x2 table,1.5100668050923782e-36
2.7.7,chi_square_results.csv,categorical_assoc,Contract__PaperlessBilling,chi_square,PaperlessBilling,Contract,cramers_v,0.17764521997131164,0.17764521997131164,0.17764521997131164,small,small,5.4509598453021695e-49,222.26175569027208,7043,"Cramér's V (r=3, c=2)",5.4509598453021695e-49
2.7.7,chi_square_results.csv,categorical_assoc,PaymentMethod__PaperlessBilling,chi_square,PaperlessBilling,PaymentMethod,cramers_v,0.24871857267198469,0.24871857267198469,0.24871857267198469,small,small,4.1152390707103193e-94,435.68651866478081,7043,"Cramér's V (r=4, c=2)",4.1152390707103193e-94
2.7.8,point_biserial_results.csv,correlation,tenure,point_biserial,,,r,-0.35229597414110669,-0.35229597414110669,0.35229597414110669,medium,medium,6.6097863083579494e-205,,,Point-biserial correlation,6.6097863083579494e-205
2.7.8,point_biserial_results.csv,correlation,tenure,point_biserial,,,r_squared,0.12411245339603132,0.12411245339603132,0.12411245339603132,medium,medium,6.6097863083579494e-205,,,Variance explained (r^2),6.6097863083579494e-205
2.7.8,point_biserial_results.csv,correlation,MonthlyCharges,point_biserial,,,r,0.19364616123838219,0.19364616123838219,0.19364616123838219,small,small,1.7934040905060079e-60,,,Point-biserial correlation,1.7934040905060079e-60
2.7.8,point_biserial_results.csv,correlation,MonthlyCharges,point_biserial,,,r_squared,0.037498835762361508,0.037498835762361508,0.037498835762361508,small,small,1.7934040905060079e-60,,,Variance explained (r^2),1.7934040905060079e-60
2.7.8,point_biserial_results.csv,correlation,TotalCharges,point_biserial,,,r,-0.1983592155378042,-0.1983592155378042,0.1983592155378042,small,small,2.0214711348071308e-63,,,Point-biserial correlation,2.0214711348071308e-63
