numeric_feature,group_column,test_method,statistic,p_value,variance_label,notes
SeniorCitizen,Contract,levene,74.39721777891346,1.0627009703891246e-32,Strongly Heterogeneous,
tenure,Contract,levene,25.555644913936124,8.738147677579131e-12,Strongly Heterogeneous,
MonthlyCharges,Contract,levene,193.5805781526311,1.4432354319483668e-82,Strongly Heterogeneous,
TotalCharges,Contract,levene,558.0819949705902,1.059787730308249e-225,Strongly Heterogeneous,
Churn_flag,Contract,levene,711.7604625631104,2.9921663019905003e-282,Strongly Heterogeneous,
expected_total_from_tenure_monthly,Contract,levene,562.5369148936097,2.2706578792813176e-227,Strongly Heterogeneous,
expected_min_total_from_contract,Contract,levene,7023.945256972026,0.0,Strongly Heterogeneous,
expected_total_senior,Contract,levene,8.348383048271735,0.0002515712099824542,Strongly Heterogeneous,
expected_total_from_payment_profile,Contract,levene,562.5369148936097,2.2706578792813176e-227,Strongly Heterogeneous,
total_charges_per_month,Contract,levene,194.8701642303374,4.251712489263318e-83,Strongly Heterogeneous,
SeniorCitizen,InternetService,levene,266.5619649753747,2.555849979344533e-112,Strongly Heterogeneous,
tenure,InternetService,levene,1.790086289735168,0.1670217438626833,Homogeneous,
MonthlyCharges,InternetService,levene,1327.5933053680524,0.0,Strongly Heterogeneous,
TotalCharges,InternetService,levene,1195.0830846882568,0.0,Strongly Heterogeneous,
Churn_flag,InternetService,levene,408.470323850816,1.457260455919398e-168,Strongly Heterogeneous,
expected_total_from_tenure_monthly,InternetService,levene,1201.612634546805,0.0,Strongly Heterogeneous,
expected_total_for_zero_tenure,InternetService,levene,,,Homogeneous,
expected_min_total_from_contract,InternetService,levene,244.1994502946929,2.9008722961896074e-103,Strongly Heterogeneous,
expected_total_senior,InternetService,levene,48.671656858520485,5.212574313672184e-21,Strongly Heterogeneous,
expected_total_from_payment_profile,InternetService,levene,1201.612634546805,0.0,Strongly Heterogeneous,
total_charges_per_month,InternetService,levene,1204.371767060371,0.0,Strongly Heterogeneous,
SeniorCitizen,PaymentMethod,levene,93.7223699056798,1.789360434698336e-59,Strongly Heterogeneous,
tenure,PaymentMethod,levene,21.351213652267074,9.199193497921116e-14,Strongly Heterogeneous,
MonthlyCharges,PaymentMethod,levene,81.10590980503584,1.4007798788222804e-51,Strongly Heterogeneous,
TotalCharges,PaymentMethod,levene,221.28353092744803,3.460049704797942e-137,Strongly Heterogeneous,
Churn_flag,PaymentMethod,levene,237.80950657419578,5.583595720582596e-147,Strongly Heterogeneous,
expected_total_from_tenure_monthly,PaymentMethod,levene,221.90618449022492,1.4757676511403376e-137,Strongly Heterogeneous,
expected_total_for_zero_tenure,PaymentMethod,levene,,,Homogeneous,
expected_min_total_from_contract,PaymentMethod,levene,217.32968207012232,7.781255442711743e-135,Strongly Heterogeneous,
expected_total_senior,PaymentMethod,levene,12.992853189091996,2.391613601739694e-08,Strongly Heterogeneous,
expected_total_from_payment_profile,PaymentMethod,levene,221.90618449022492,1.4757676511403376e-137,Strongly Heterogeneous,
total_charges_per_month,PaymentMethod,levene,75.08451262133603,8.443783247510318e-48,Strongly Heterogeneous,
