feature_1,feature_2,method,correlation_value
tenure,tenure,pearson,1.0
tenure,MonthlyCharges,pearson,0.2474036864468571
tenure,TotalCharges,pearson,0.8261456057217957
tenure,expected_total_from_tenure_monthly,pearson,0.8270930602398978
tenure,expected_total_for_zero_tenure,pearson,
tenure,expected_min_total_from_contract,pearson,0.6503522143762905
tenure,expected_total_senior,pearson,0.901739060459639
tenure,expected_total_from_payment_profile,pearson,0.8270930602398978
MonthlyCharges,MonthlyCharges,pearson,1.0
MonthlyCharges,TotalCharges,pearson,0.6502951296662559
MonthlyCharges,expected_total_from_tenure_monthly,pearson,0.6509807454198602
MonthlyCharges,expected_total_for_zero_tenure,pearson,
MonthlyCharges,expected_min_total_from_contract,pearson,0.385768875458011
MonthlyCharges,expected_total_senior,pearson,0.5809617160669885
MonthlyCharges,expected_total_from_payment_profile,pearson,0.6509807454198602
TotalCharges,TotalCharges,pearson,1.0
TotalCharges,expected_total_from_tenure_monthly,pearson,0.9992856821098772
TotalCharges,expected_total_for_zero_tenure,pearson,
TotalCharges,expected_min_total_from_contract,pearson,0.7364878326932887
TotalCharges,expected_total_senior,pearson,0.9995157982543625
TotalCharges,expected_total_from_payment_profile,pearson,0.9992856821098772
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,pearson,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,pearson,
expected_total_from_tenure_monthly,expected_min_total_from_contract,pearson,0.7367976122604283
expected_total_from_tenure_monthly,expected_total_senior,pearson,0.9999945897853122
expected_total_from_tenure_monthly,expected_total_from_payment_profile,pearson,1.0
expected_total_for_zero_tenure,expected_total_for_zero_tenure,pearson,
expected_total_for_zero_tenure,expected_min_total_from_contract,pearson,
expected_total_for_zero_tenure,expected_total_senior,pearson,
expected_total_for_zero_tenure,expected_total_from_payment_profile,pearson,
expected_min_total_from_contract,expected_min_total_from_contract,pearson,1.0
expected_min_total_from_contract,expected_total_senior,pearson,0.6792964544131889
expected_min_total_from_contract,expected_total_from_payment_profile,pearson,0.7367976122604283
expected_total_senior,expected_total_senior,pearson,1.0
