target,category,count,n_total,proportion,alpha,method,ci_lower,ci_upper,ci_width,precision_label,status
Churn,No,5174,7043,0.7346301292063041,0.05,wilson,0.7241925625110921,0.7448118871154927,0.020619324604400635,Precise,OK
Churn,Yes,1869,7043,0.2653698707936959,0.05,wilson,0.25518811288450727,0.2758074374889079,0.020619324604400635,Precise,OK
Contract,Month-to-month,3875,7043,0.5501916796819537,0.05,wilson,0.5385492227659818,0.5617794144158625,0.023230191649880716,Precise,OK
Contract,Two year,1695,7043,0.24066448956410622,0.05,wilson,0.2308238686025235,0.25078785469977166,0.01996398609724817,Precise,OK
Contract,One year,1473,7043,0.20914383075394008,0.05,wilson,0.19980546840601315,0.21879930311588752,0.01899383470987437,Precise,OK
PaymentMethod,Electronic check,2365,7043,0.3357944057929859,0.05,wilson,0.3248570269448849,0.3469108120910331,0.022053785146148197,Precise,OK
PaymentMethod,Mailed check,1612,7043,0.22887973874769274,0.05,wilson,0.21921762859938224,0.23883744155979245,0.01961981296041021,Precise,OK
PaymentMethod,Bank transfer (automatic),1544,7043,0.21922476217520942,0.05,wilson,0.20971701991611313,0.22903862357158938,0.01932160365547625,Precise,OK
PaymentMethod,Credit card (automatic),1522,7043,0.2161010932841119,0.05,wilson,0.20664492010814878,0.2258667912211363,0.01922187111298751,Precise,OK
SeniorCitizen,0,5901,7043,0.8378531875621185,0.05,wilson,0.8290612867445475,0.8462767392079238,0.017215452463376302,Precise,OK
SeniorCitizen,1,1142,7043,0.1621468124378816,0.05,wilson,0.15372326079207624,0.17093871325545254,0.017215452463376302,Precise,OK
