feature,role,feature_group,quality_score,quality_band,drift_label,drift_score,correlation_integrity_label,effect_stability_label,sri_score,snr_bucket,bias_risk_flag,leakage_risk_flag,readiness_status,primary_blocker,secondary_flags
gender,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
SeniorCitizen,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
Partner,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
Dependents,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
tenure,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
PhoneService,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
MultipleLines,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
InternetService,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
OnlineSecurity,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
OnlineBackup,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
DeviceProtection,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
TechSupport,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
StreamingTV,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
StreamingMovies,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
Contract,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
PaperlessBilling,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
PaymentMethod,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
MonthlyCharges,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
TotalCharges,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
Churn_flag,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
SeniorCitizen_flag_text,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
Senior_flag,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
pseudo_start,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
pseudo_end,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
expected_total_from_tenure_monthly,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
expected_total_for_zero_tenure,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
expected_min_total_from_contract,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
expected_total_senior,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
expected_total_from_payment_profile,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
_logic_repair_applied,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
tenure_months_bucket,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
total_charges_per_month,feature,unknown,0.0,🟥 Poor,,,,,,,False,False,NOT_READY,Low quality score,
,dataset,dataset,,,,,,,,,False,False,SUMMARY,,"n_ready=0, n_caution=0, n_not_ready=32, total=32"
