feature,dtype,role,quality_score_0_1,quality_score,scope,dataset_quality_mean,dataset_quality_median,quality_band,is_recommended_for_model,priority_for_improvement,n_excellent,pct_excellent,n_moderate,pct_moderate,n_poor,pct_poor
gender,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
SeniorCitizen,int64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
Partner,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
Dependents,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
tenure,int64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
PhoneService,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
MultipleLines,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
InternetService,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
OnlineSecurity,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
OnlineBackup,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
DeviceProtection,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
TechSupport,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
StreamingTV,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
StreamingMovies,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
Contract,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
PaperlessBilling,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
PaymentMethod,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
MonthlyCharges,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
TotalCharges,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
Churn_flag,Int8,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
SeniorCitizen_flag_text,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
Senior_flag,boolean,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
pseudo_start,datetime64[s],feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
pseudo_end,datetime64[ns],feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
expected_total_from_tenure_monthly,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
expected_total_for_zero_tenure,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
expected_min_total_from_contract,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
expected_total_senior,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
expected_total_from_payment_profile,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
_logic_repair_applied,bool,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
tenure_months_bucket,category,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
total_charges_per_month,float64,feature,0.0,0.0,,,,🟥 Poor,False,True,,,,,,
,,,,,dataset,,,,,,0.0,0.0,0.0,0.0,32.0,100.0
