feature,dtype,role,quality_score_0_1,quality_score,scope,dataset_quality_mean,dataset_quality_median
gender,category,feature,0.0,0.0,,,
SeniorCitizen,int64,feature,0.0,0.0,,,
Partner,category,feature,0.0,0.0,,,
Dependents,category,feature,0.0,0.0,,,
tenure,int64,feature,0.0,0.0,,,
PhoneService,category,feature,0.0,0.0,,,
MultipleLines,category,feature,0.0,0.0,,,
InternetService,category,feature,0.0,0.0,,,
OnlineSecurity,category,feature,0.0,0.0,,,
OnlineBackup,category,feature,0.0,0.0,,,
DeviceProtection,category,feature,0.0,0.0,,,
TechSupport,category,feature,0.0,0.0,,,
StreamingTV,category,feature,0.0,0.0,,,
StreamingMovies,category,feature,0.0,0.0,,,
Contract,category,feature,0.0,0.0,,,
PaperlessBilling,category,feature,0.0,0.0,,,
PaymentMethod,category,feature,0.0,0.0,,,
MonthlyCharges,float64,feature,0.0,0.0,,,
TotalCharges,float64,feature,0.0,0.0,,,
Churn_flag,Int8,feature,0.0,0.0,,,
SeniorCitizen_flag_text,category,feature,0.0,0.0,,,
Senior_flag,boolean,feature,0.0,0.0,,,
pseudo_start,datetime64[s],feature,0.0,0.0,,,
pseudo_end,datetime64[ns],feature,0.0,0.0,,,
expected_total_from_tenure_monthly,float64,feature,0.0,0.0,,,
expected_total_for_zero_tenure,float64,feature,0.0,0.0,,,
expected_min_total_from_contract,float64,feature,0.0,0.0,,,
expected_total_senior,float64,feature,0.0,0.0,,,
expected_total_from_payment_profile,float64,feature,0.0,0.0,,,
_logic_repair_applied,bool,feature,0.0,0.0,,,
tenure_months_bucket,category,feature,0.0,0.0,,,
total_charges_per_month,float64,feature,0.0,0.0,,,
,,,,,dataset,0.0,0.0
