source_section,source_file,test_family,test_name,test_type,outcome_col,group_col,effect_type,effect_value,effect_value_signed,effect_abs,effect_band,magnitude_label,p_value,statistic,n_total,notes,p_value_display
2.7.8,point_biserial_results.csv,correlation,tenure,point_biserial,,,r,-0.35229597414110669,-0.35229597414110669,0.35229597414110669,medium,medium,6.6097863083579494e-205,,,Point-biserial correlation,6.6097863083579494e-205
2.7.8,point_biserial_results.csv,correlation,tenure,point_biserial,,,r_squared,0.12411245339603132,0.12411245339603132,0.12411245339603132,medium,medium,6.6097863083579494e-205,,,Variance explained (r^2),6.6097863083579494e-205
2.7.8,point_biserial_results.csv,correlation,MonthlyCharges,point_biserial,,,r,0.1936491493402242,0.1936491493402242,0.1936491493402242,small,small,1.7858014313245424e-60,,,Point-biserial correlation,1.7858014313245424e-60
2.7.8,point_biserial_results.csv,correlation,MonthlyCharges,point_biserial,,,r_squared,0.037499993040192456,0.037499993040192456,0.037499993040192456,small,small,1.7858014313245424e-60,,,Variance explained (r^2),1.7858014313245424e-60
2.7.8,point_biserial_results.csv,correlation,TotalCharges,point_biserial,,,r,-0.1990632896824126,-0.1990632896824126,0.1990632896824126,small,small,7.2232683563611306e-64,,,Point-biserial correlation,7.2232683563611306e-64
2.7.8,point_biserial_results.csv,correlation,TotalCharges,point_biserial,,,r_squared,0.039626193299184119,0.039626193299184119,0.039626193299184119,small,small,7.2232683563611306e-64,,,Variance explained (r^2),7.2232683563611306e-64
2.7.8,point_biserial_results.csv,correlation,expected_total_from_tenure_monthly,point_biserial,,,r,-0.1985942966768271,-0.1985942966768271,0.1985942966768271,small,small,1.4342720155075519e-63,,,Point-biserial correlation,1.4342720155075519e-63
2.7.8,point_biserial_results.csv,correlation,expected_total_from_tenure_monthly,point_biserial,,,r_squared,0.03943969467256362,0.03943969467256362,0.03943969467256362,small,small,1.4342720155075519e-63,,,Variance explained (r^2),1.4342720155075519e-63
2.7.8,point_biserial_results.csv,correlation,expected_min_total_from_contract,point_biserial,,,r,-0.28852550288725382,-0.28852550288725382,0.28852550288725382,small,small,4.2331748650626108e-135,,,Point-biserial correlation,4.2331748650626108e-135
2.7.8,point_biserial_results.csv,correlation,expected_min_total_from_contract,point_biserial,,,r_squared,0.083246965816342708,0.083246965816342708,0.083246965816342708,small,small,4.2331748650626108e-135,,,Variance explained (r^2),4.2331748650626108e-135
2.7.8,point_biserial_results.csv,correlation,expected_total_senior,point_biserial,,,r,-0.34292304448282668,-0.34292304448282668,0.34292304448282668,medium,medium,7.341488731794949e-33,,,Point-biserial correlation,7.3414887317949490e-33
2.7.8,point_biserial_results.csv,correlation,expected_total_senior,point_biserial,,,r_squared,0.11759621443737073,0.11759621443737073,0.11759621443737073,medium,medium,7.341488731794949e-33,,,Variance explained (r^2),7.3414887317949490e-33
2.7.8,point_biserial_results.csv,correlation,expected_total_from_payment_profile,point_biserial,,,r,-0.1985942966768271,-0.1985942966768271,0.1985942966768271,small,small,1.4342720155075519e-63,,,Point-biserial correlation,1.4342720155075519e-63
2.7.8,point_biserial_results.csv,correlation,expected_total_from_payment_profile,point_biserial,,,r_squared,0.03943969467256362,0.03943969467256362,0.03943969467256362,small,small,1.4342720155075519e-63,,,Variance explained (r^2),1.4342720155075519e-63
