column,dtype,type_group,n_unique,unique_ratio,null_pct
Churn,category,categorical,2,0.0003,0.0
Churn_flag,Int8,numeric,2,0.0003,0.0
MonthlyCharges,float64,numeric,1585,0.225,0.0
TotalCharges,float64,numeric,6530,0.9272,0.156
SeniorCitizen,int64,numeric,2,0.0003,0.0
tenure,int64,numeric,73,0.0104,0.0
Contract,object,string_like,3,0.0004,0.0
Dependents,object,string_like,2,0.0003,0.0
DeviceProtection,object,string_like,3,0.0004,0.0
InternetService,object,string_like,3,0.0004,0.0
MultipleLines,object,string_like,3,0.0004,0.0
OnlineBackup,object,string_like,3,0.0004,0.0
OnlineSecurity,object,string_like,3,0.0004,0.0
PaperlessBilling,object,string_like,2,0.0003,0.0
Partner,object,string_like,2,0.0003,0.0
PaymentMethod,object,string_like,4,0.0006,0.0
PhoneService,object,string_like,2,0.0003,0.0
StreamingMovies,object,string_like,3,0.0004,0.0
StreamingTV,object,string_like,3,0.0004,0.0
TechSupport,object,string_like,3,0.0004,0.0
customerID,object,string_like,7043,1.0,0.0
gender,object,string_like,2,0.0003,0.0
