column,dtype,type_group,emoji,section_id,section_name,run_ts,n_rows,n_cols,non_null,nulls,null_pct,n_unique
MonthlyCharges,float64,numeric,🔢,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,1585
TotalCharges,float64,numeric,🔢,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7032,11,0.156,6530
SeniorCitizen,int64,numeric,🔢,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,2
tenure,int64,numeric,🔢,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,73
Churn,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,2
Contract,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
Dependents,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,2
DeviceProtection,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
InternetService,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
MultipleLines,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
OnlineBackup,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
OnlineSecurity,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
PaperlessBilling,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,2
Partner,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,2
PaymentMethod,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,4
PhoneService,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,2
StreamingMovies,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
StreamingTV,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
TechSupport,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,3
customerID,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,7043
gender,object,string_like,🔤,1.5.2,Basic column-type introspection,2025-11-20 13:59:12,7043,21,7043,0,0.0,2
