column,dtype,type_group,emoji,section_id,section_name,run_ts,n_rows,n_cols
MonthlyCharges,float64,numeric,🔢,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
TotalCharges,float64,numeric,🔢,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
SeniorCitizen,int64,numeric,🔢,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
tenure,int64,numeric,🔢,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
customerID,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
PaymentMethod,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
PaperlessBilling,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
Contract,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
StreamingMovies,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
StreamingTV,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
TechSupport,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
OnlineBackup,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
OnlineSecurity,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
InternetService,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
MultipleLines,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
PhoneService,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
Dependents,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
Partner,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
gender,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
DeviceProtection,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
Churn,object,string_like,🔤,1.6.2,Basic column-type introspection,2025-11-12 21:45:05,7043,21
