column,dtype,non_null,nulls,null_pct,n_unique,is_constant,sample_value
Churn_flag,Int8,7043,0,0.0,2,False,0
Churn,category,7043,0,0.0,2,False,No
MonthlyCharges,float64,7043,0,0.0,1585,False,29.85
TotalCharges,float64,7032,11,0.156,6530,False,29.85
SeniorCitizen,int64,7043,0,0.0,2,False,0
tenure,int64,7043,0,0.0,73,False,1
Contract,object,7043,0,0.0,3,False,Month-to-month
Dependents,object,7043,0,0.0,2,False,No
DeviceProtection,object,7043,0,0.0,3,False,No
InternetService,object,7043,0,0.0,3,False,DSL
MultipleLines,object,7043,0,0.0,3,False,No phone service
OnlineBackup,object,7043,0,0.0,3,False,Yes
OnlineSecurity,object,7043,0,0.0,3,False,No
PaperlessBilling,object,7043,0,0.0,2,False,Yes
Partner,object,7043,0,0.0,2,False,Yes
PaymentMethod,object,7043,0,0.0,4,False,Electronic check
PhoneService,object,7043,0,0.0,2,False,No
StreamingMovies,object,7043,0,0.0,3,False,No
StreamingTV,object,7043,0,0.0,3,False,No
TechSupport,object,7043,0,0.0,3,False,No
customerID,object,7043,0,0.0,7043,False,7590-VHVEG
gender,object,7043,0,0.0,2,False,Female
