column,rule,value,count,note
TotalCharges,rare_level,20.2,11,prop=0.0016 < 0.0050
TotalCharges,rare_level,19.75,9,prop=0.0013 < 0.0050
TotalCharges,rare_level,19.9,8,prop=0.0011 < 0.0050
TotalCharges,rare_level,19.65,8,prop=0.0011 < 0.0050
TotalCharges,rare_level,20.05,8,prop=0.0011 < 0.0050
TotalCharges,rare_level,45.3,7,prop=0.0010 < 0.0050
TotalCharges,rare_level,19.55,7,prop=0.0010 < 0.0050
TotalCharges,rare_level,20.25,6,prop=0.0009 < 0.0050
TotalCharges,rare_level,19.45,6,prop=0.0009 < 0.0050
TotalCharges,rare_level,20.15,6,prop=0.0009 < 0.0050
TotalCharges,rare_level,20.3,5,prop=0.0007 < 0.0050
TotalCharges,rare_level,20.45,5,prop=0.0007 < 0.0050
TotalCharges,rare_level,19.4,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,49.9,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,69.65,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,20.5,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,19.85,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,19.3,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,69.95,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,19.95,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,19.2,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,44.4,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,20.4,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,74.7,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,69.9,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,19.5,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,75.3,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,69.6,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,70.6,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,50.15,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,20.35,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,44.0,4,prop=0.0006 < 0.0050
TotalCharges,rare_level,80.55,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,69.25,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,86.05,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,50.45,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,20.55,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,44.75,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,45.85,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,74.9,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,470.2,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,2317.1,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,45.1,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,19.25,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,20.9,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,25.25,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,84.5,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,75.35,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,70.3,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,74.3,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,20.0,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,383.65,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,24.8,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,1284.2,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,220.45,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,85.5,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,70.15,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,50.6,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,305.55,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,35.9,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,70.1,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,74.6,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,70.45,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,55.7,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,79.55,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,45.7,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,19.1,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,20.1,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,24.4,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,69.1,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,85.0,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,74.35,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,69.55,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,50.75,3,prop=0.0004 < 0.0050
TotalCharges,rare_level,416.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,49.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,196.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1734.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,79.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,79.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,79.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,906.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,123.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,267.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,44.9,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,190.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,98.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,19.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,449.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,4976.15,2,prop=0.0003 < 0.0050
