n_rows,n_cols,column,dtype,non_null,nulls,null_pct,n_unique
7043,21,MonthlyCharges,float64,7043,0,0.0,1585
7043,21,TotalCharges,float64,7032,11,0.156,6530
7043,21,SeniorCitizen,int64,7043,0,0.0,2
7043,21,tenure,int64,7043,0,0.0,73
7043,21,Churn,object,7043,0,0.0,2
7043,21,Contract,object,7043,0,0.0,3
7043,21,Dependents,object,7043,0,0.0,2
7043,21,DeviceProtection,object,7043,0,0.0,3
7043,21,InternetService,object,7043,0,0.0,3
7043,21,MultipleLines,object,7043,0,0.0,3
7043,21,OnlineBackup,object,7043,0,0.0,3
7043,21,OnlineSecurity,object,7043,0,0.0,3
7043,21,PaperlessBilling,object,7043,0,0.0,2
7043,21,Partner,object,7043,0,0.0,2
7043,21,PaymentMethod,object,7043,0,0.0,4
7043,21,PhoneService,object,7043,0,0.0,2
7043,21,StreamingMovies,object,7043,0,0.0,3
7043,21,StreamingTV,object,7043,0,0.0,3
7043,21,TechSupport,object,7043,0,0.0,3
7043,21,customerID,object,7043,0,0.0,7043
7043,21,gender,object,7043,0,0.0,2
