check_family,target,metric,value,threshold,status,notes
missingness,customerID,pct_missing_clean,0.0,5.0,OK,
missingness,gender,pct_missing_clean,0.0,5.0,OK,
missingness,SeniorCitizen,pct_missing_clean,0.0,5.0,OK,
missingness,Partner,pct_missing_clean,0.0,5.0,OK,
missingness,Dependents,pct_missing_clean,0.0,5.0,OK,
missingness,tenure,pct_missing_clean,0.0,5.0,OK,
missingness,PhoneService,pct_missing_clean,0.0,5.0,OK,
missingness,MultipleLines,pct_missing_clean,0.0,5.0,OK,
missingness,InternetService,pct_missing_clean,0.0,5.0,OK,
missingness,OnlineSecurity,pct_missing_clean,0.0,5.0,OK,
missingness,OnlineBackup,pct_missing_clean,0.0,5.0,OK,
missingness,DeviceProtection,pct_missing_clean,0.0,5.0,OK,
missingness,TechSupport,pct_missing_clean,0.0,5.0,OK,
missingness,StreamingTV,pct_missing_clean,0.0,5.0,OK,
missingness,StreamingMovies,pct_missing_clean,0.0,5.0,OK,
missingness,Contract,pct_missing_clean,0.0,5.0,OK,
missingness,PaperlessBilling,pct_missing_clean,0.0,5.0,OK,
missingness,PaymentMethod,pct_missing_clean,0.0,5.0,OK,
missingness,MonthlyCharges,pct_missing_clean,0.0,5.0,OK,
missingness,TotalCharges,pct_missing_clean,0.0,5.0,OK,
missingness,Churn,pct_missing_clean,0.0,5.0,OK,
missingness,Churn_flag,pct_missing_clean,0.0,5.0,OK,
missingness,SeniorCitizen_flag_text,pct_missing_clean,0.0,5.0,OK,
missingness,Senior_flag,pct_missing_clean,0.0,5.0,OK,
missingness,expected_total_from_tenure_monthly,pct_missing_clean,0.0,5.0,OK,
missingness,expected_total_for_zero_tenure,pct_missing_clean,100.0,5.0,FAIL,
missingness,expected_min_total_from_contract,pct_missing_clean,0.0,5.0,OK,
missingness,expected_total_senior,pct_missing_clean,83.78531875621185,5.0,FAIL,
missingness,expected_total_from_payment_profile,pct_missing_clean,0.0,5.0,OK,
missingness,tenure_months_bucket,pct_missing_clean,0.0,5.0,OK,
missingness,total_charges_per_month,pct_missing_clean,0.0,5.0,OK,
missingness,_logic_repair_applied,pct_missing_clean,0.0,5.0,OK,
logic_rules,tenure_non_negative,pct_rows_violating_rule_clean,0.0,1.0,OK,tenure >= 0 for all rows
logic_rules,total_charges_non_negative,pct_rows_violating_rule_clean,0.0,1.0,OK,TotalCharges >= 0 for all rows
