column,unique_count,unique_values
gender,2,"['Female', 'Male']"
Partner,2,"['Yes', 'No']"
Dependents,2,"['No', 'Yes']"
PhoneService,2,"['No', 'Yes']"
MultipleLines,3,"['No phone service', 'No', 'Yes']"
InternetService,3,"['DSL', 'Fiber optic', 'No']"
OnlineSecurity,3,"['No', 'Yes', 'No internet service']"
OnlineBackup,3,"['Yes', 'No', 'No internet service']"
DeviceProtection,3,"['No', 'Yes', 'No internet service']"
TechSupport,3,"['No', 'Yes', 'No internet service']"
StreamingTV,3,"['No', 'Yes', 'No internet service']"
StreamingMovies,3,"['No', 'Yes', 'No internet service']"
Contract,3,"['Month-to-month', 'One year', 'Two year']"
PaperlessBilling,2,"['Yes', 'No']"
PaymentMethod,4,"['Electronic check', 'Mailed check', 'Bank transfer (automatic)', 'Credit card (automatic)']"
Churn,2,"['No', 'Yes']"
