column,role,feature_group,encoding_scheme,n_unique,effective_cardinality,high_cardinality,has_rare_categories,feature_readiness_score,readiness_label,pct_rows_affected,is_redundant_partner,max_redundancy_score,max_features_allowed,estimated_dimensionality,would_exceed_max_dim,encoding_recommendation
PaymentMethod,feature,unknown,one_hot,4.0,4.0,False,False,1.0,unknown,,True,1.0,200,4.0,False,candidate_for_drop_or_merge
Contract,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
DeviceProtection,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
InternetService,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
MultipleLines,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
OnlineBackup,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
OnlineSecurity,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
StreamingMovies,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
StreamingTV,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
TechSupport,feature,unknown,one_hot,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,3.0,False,candidate_for_drop_or_merge
Churn,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
Dependents,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
PaperlessBilling,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
Partner,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
PhoneService,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
SeniorCitizen_flag_text,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
gender,feature,unknown,one_hot,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,2.0,False,candidate_for_drop_or_merge
customerID,feature,unknown,one_hot,7043.0,1.0,True,True,1.0,unknown,,True,1.0,200,1.0,False,consider_target_or_hashing
Churn,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
Contract,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
Dependents,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
DeviceProtection,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
InternetService,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
MultipleLines,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
OnlineBackup,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
OnlineSecurity,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
PaperlessBilling,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
Partner,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
PaymentMethod,feature,unknown,target,4.0,4.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
PhoneService,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
SeniorCitizen_flag_text,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
StreamingMovies,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
StreamingTV,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
TechSupport,feature,unknown,target,3.0,3.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
customerID,feature,unknown,target,7043.0,1.0,True,True,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
gender,feature,unknown,target,2.0,2.0,False,False,1.0,unknown,,True,1.0,200,1.0,False,candidate_for_drop_or_merge
