section,section_name,stage,wall_clock_sec,cpu_time_sec,peak_memory_mb,rows_processed,perf_severity,notes
2.3.1,Base numeric validation,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.2,Range rule enforcement,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.3,Outlier detection (IQR & Z),2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.4,Enhanced numeric metrics,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.5,Aggregated numeric report,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.6,Unified numeric profile,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.1,Time-series outliers,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.2,Global temporal anomalies,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.3,Correlation-based anomalies,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.4,Rule confidence scores,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.8,Model readiness impact summary,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.9,Dashboard & alert integration,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.10,Metadata lineage & version logging,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.11,Forecast sensitivity preview,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.12,Explainability & bias diagnostics,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.13,Anomaly explainability layer,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.14,Data drift & monitoring hooks,2.3D,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.16,Data contracts & threshold enforcement,2.3D,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
