metric,value,notes
overall_status,WARN,Aggregate from section2 diagnostics statuses (OK/WARN/FAIL).
sections_ok,111,Number of sections with status == 'OK'.
sections_warn,15,Number of sections with status == 'WARN'.
sections_fail,0,Number of sections with status == 'FAIL'.
drift_low_count,0,Features with low drift severity.
drift_medium_count,0,Features with medium drift severity.
drift_high_count,0,Features with high drift severity.
max_psi,0.0,Maximum PSI across monitored features (if drift metrics computed).
contracts_overall_status,OK,Overall data contracts status from data_contract_violations.json.
contracts_hard_failures,0,Number of failed hard contracts.
contracts_total,0,Total number of evaluated contracts (including meta).
total_runtime_sec,0.0,Sum of wall_clock_sec across performance_profile.csv (if present).
max_section_runtime_sec,,Maximum wall_clock_sec across sections.
slowest_section_id,2.3.1,Section ID with maximum runtime.
