column,dtype,non_null,nulls,null_pct,n_unique,is_constant,sample_value
Churn_flag,Int8,7043,0,0.0,2,False,0
Churn,category,7043,0,0.0,2,False,No
Contract,category,7043,0,0.0,3,False,Month-to-month
Dependents,category,7043,0,0.0,2,False,No
DeviceProtection,category,7043,0,0.0,3,False,No
InternetService,category,7043,0,0.0,3,False,DSL
MultipleLines,category,7043,0,0.0,3,False,No phone service
OnlineBackup,category,7043,0,0.0,3,False,Yes
OnlineSecurity,category,7043,0,0.0,3,False,No
PaperlessBilling,category,7043,0,0.0,2,False,Yes
Partner,category,7043,0,0.0,2,False,Yes
PaymentMethod,category,7043,0,0.0,4,False,Electronic check
PhoneService,category,7043,0,0.0,2,False,No
StreamingMovies,category,7043,0,0.0,3,False,No
StreamingTV,category,7043,0,0.0,3,False,No
TechSupport,category,7043,0,0.0,3,False,No
gender,category,7043,0,0.0,2,False,Female
MonthlyCharges,float64,7043,0,0.0,1585,False,29.85
TotalCharges,float64,7032,11,0.156,6530,False,29.85
SeniorCitizen,int64,7043,0,0.0,2,False,0
tenure,int64,7043,0,0.0,73,False,1
customerID,object,7043,0,0.0,7043,False,7590-VHVEG
