run_id,integrity_index,numeric_score,categorical_score,logic_score,contract_status,contract_penalty,timestamp_utc
sec2_20251120T015111Z,90.0,100.0,100.0,100.0,,0.0,2025-11-20 01:51:11.199822+00:00
sec2_20251120T021702Z,90.0,100.0,100.0,100.0,,0.0,2025-11-20 02:17:02.186506+00:00
sec2_20251120T023428Z,90.0,100.0,100.0,100.0,,0.0,2025-11-20 02:34:28.340636+00:00
sec2_20251120T051420Z,90.0,100.0,100.0,100.0,,0.0,2025-11-20 05:14:20.060426+00:00
sec2_20251120T210745Z,90.0,100.0,100.0,100.0,,0.0,2025-11-20 21:07:45.343633+00:00
sec2_20251121T054525Z,90.0,100.0,100.0,100.0,,0.0,2025-11-21 05:45:25.054632+00:00
sec2_20251122T214540Z,90.0,100.0,100.0,100.0,,0.0,2025-11-22 21:45:40.418056+00:00
sec2_20251122T223856Z,90.0,100.0,100.0,100.0,,0.0,2025-11-22 22:38:56.447545+00:00
sec2_20251122T224227Z,90.0,100.0,100.0,100.0,,0.0,2025-11-22 22:42:27.899366+00:00
sec2_20251122T225459Z,90.0,100.0,100.0,100.0,,0.0,2025-11-22 22:54:59.585334+00:00
sec2_20251122T232700Z,90.0,100.0,100.0,100.0,,0.0,2025-11-22 23:27:00.323580+00:00
