column,role,n_unique,null_count,null_pct
SeniorCitizen,BinaryFlag,2,0,0.0
Churn,Categorical,2,0,0.0
Contract,Categorical,3,0,0.0
Dependents,Categorical,2,0,0.0
DeviceProtection,Categorical,3,0,0.0
InternetService,Categorical,3,0,0.0
MultipleLines,Categorical,3,0,0.0
OnlineBackup,Categorical,3,0,0.0
OnlineSecurity,Categorical,3,0,0.0
PaperlessBilling,Categorical,2,0,0.0
Partner,Categorical,2,0,0.0
PaymentMethod,Categorical,4,0,0.0
PhoneService,Categorical,2,0,0.0
StreamingMovies,Categorical,3,0,0.0
StreamingTV,Categorical,3,0,0.0
TechSupport,Categorical,3,0,0.0
gender,Categorical,2,0,0.0
customerID,ID,7043,0,0.0
MonthlyCharges,Numeric,1585,0,0.0
TotalCharges,Numeric,6530,11,0.156
tenure,Numeric,73,0,0.0
Churn_flag,Target,2,0,0.0
