check,columns_with_forbidden,count_0,count_1,detail,full_row_dupes,imbalance_ratio,label,level,max_cardinality,max_null_pct,mem_mb,n_auto_detected_ids,n_binary,n_binary_numeric,n_categorical,n_cols,n_cols_all_null,n_cols_any_null,n_cols_constant,n_columns,n_expected,n_extra,n_flags,n_id_from_config,n_ids,n_missing,n_non_unique,n_numeric,n_protected_columns,n_range_viol_cols,n_required,n_rows,section,status,timestamp
Section 2 overview,,,,Initial Section 2 setup and dataset shape,,,,info,,,,,,,,22.0,,,,,,,,,,,,,,,,7043.0,2.0.1,INFO,2025-11-14 15:48:02.814741
Config & constants validation for Section 2,,,,All required config roots present and Section 2 constants registered.,,,,info,,,,,,,,,,,,,,,,,,0.0,,,,,4.0,,2.0.2,OK,2025-11-14 15:48:10.404552
Dataset ingestion & preview,,,,"Dataset already loaded in Section 1; recorded shape, memory footprint, and dtype counts for Section 2.",,,,info,,,0.772,,,,,22.0,,,,,,,,,,,,,,,,7043.0,2.0.4,OK,2025-11-14 15:48:25.439366
Row/column baseline summary,,,,"Computed baseline per-column stats (null %, unique counts, constant flags) and saved to baseline_summary.csv.",,,,info,,,,,,,,22.0,0.0,1.0,0.0,,,,,,,,,,,,,7043.0,2.0.5,OK,2025-11-14 15:48:25.497043
Identifier detection & registration,,,,"Auto-detected potential ID columns (high uniqueness, name hints) and merged with config-driven IDs into protected_columns.yaml.",,,,info,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,2.0.6,OK,2025-11-14 15:48:25.579120
Dependency registry build,,,,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,OK,2025-11-14 15:48:30.464547
Sanity preview printout,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,OK,2025-11-14 15:48:30.496245
Target creation & validation,,5174.0,1869.0,,,0.3612,severe imbalance,info,,,,,,,,,,,,,,,,,,,,,,,,,2.1.1,OK,2025-11-14 15:48:41.289761
ID & key field verification,,,,,,,,info,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,2.1.2,OK,2025-11-14 15:48:41.300532
Special-case numeric flags,,,,,,,,info,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.1.3,OK,2025-11-14 15:48:41.307875
Duplicate audit,,,,,0.0,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,OK,2025-11-14 15:48:41.322764
Dtype enforcement check,,,,,,,,info,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.1.5,WARN,2025-11-14 15:48:48.306011
Dtype enforcement check,,,,,,,,info,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.1.5,WARN,2025-11-14 15:48:48.329892
Schema drift,,,,,,,,info,,,,,,,,,,,,,6.0,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 15:48:48.339476
Schema drift,,,,,,,,info,,,,,,,,,,,,,,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 15:48:48.355104
Feature role classification,,,,,,,,info,,,,,1.0,,16.0,,,,,,,,,,,,,3.0,,,,,2.1.7,OK,2025-11-14 15:48:48.372883
Missingness baseline,,,,,,,,info,,0.156,,,,,,,,,,,,,,,,,,,,,,,2.1.8,OK,2025-11-14 15:48:48.389000
Binary vs continuous audit,,,,,,,,info,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.1.9,OK,2025-11-14 15:49:01.643070
Feature cardinality summary,,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,,,,,,,,2.1.10,OK,2025-11-14 15:49:01.660162
Schema consistency report,,,,,,,,info,,,,,,,,,,,,22.0,,,,,,,,,,,,,2.1.11,OK,2025-11-14 15:49:01.676959
Token hygiene,0.0,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.2,OK,2025-11-14 15:49:16.034327
Target creation & validation,,5174.0,1869.0,,,0.3612,severe imbalance,info,,,,,,,,,,,,,,,,,,,,,,,,,2.1.1,OK,2025-11-14 15:59:29.538021
ID & key field verification,,,,,,,,info,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,2.1.2,OK,2025-11-14 15:59:29.556012
Special-case numeric flags,,,,,,,,info,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.1.3,OK,2025-11-14 15:59:29.568657
Duplicate audit,,,,,0.0,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,OK,2025-11-14 15:59:29.585599
Dtype enforcement check,,,,,,,,info,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.1.5,WARN,2025-11-14 15:59:47.406797
