check,detail,level,n_candidate_ids,n_cols,n_id_configured,n_id_in_df,n_missing,n_protected,n_required,n_rows,overall_null_pct,section,section_name,status,timestamp,top_missing_col,top_missing_pct,total_mem_mb
Config & constants validation for Section 2,All required config roots present and Section 2 constants registered.,info,,,,,0.0,,4.0,,,2.0.2,,OK,2025-11-15 22:18:30.992613,,,
Environment & config readiness preflight,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",info,,21.0,,,,,,7043.0,,2.0.1,Environment & config readiness preflight,OK,2025-11-15 22:26:51.491691,,,
Config & constants validation for Section 2,All required config roots present and Section 2 constants registered.,info,,,,,0.0,,4.0,,,2.0.2,,OK,2025-11-15 22:26:54.973420,,,
Dataset-level shape & memory snapshot,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,info,,21.0,,,,,,7043.0,,2.0.4,Dataset snapshot & preview,OK,2025-11-15 23:44:48.606801,,,6.5061
"Overall missingness, dtype distribution, top-N missing columns",Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,info,,21.0,,,,,,7043.0,0.0074,2.0.5,Row/Column baseline summary (lightweight),OK,2025-11-15 23:45:19.167025,TotalCharges,0.1562,
Config-driven IDs and protected columns snapshot,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,info,0.0,,1.0,1.0,,3.0,,,,2.0.6,ID & protected columns snapshot,OK,2025-11-15 23:45:23.844477,,,
Dataset-level shape & memory snapshot,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,info,,21.0,,,,,,7043.0,,2.0.4,Dataset snapshot & preview,OK,2025-11-15 23:47:39.576963,,,6.5061
Dependency registry build,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,info,,,,,,,,,,2.0.7,,OK,2025-11-15 23:59:01.302443,,,
Dependency registry build,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,info,,,,,,,,,,2.0.7,,OK,2025-11-16 00:08:01.205887,,,
Dependency registry build,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,info,,,,,,,,,,2.0.7,Dependency registry build,OK,2025-11-16 00:17:49.716524,,,
Dependency registry build,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,info,,,,,,,,,,2.0.7,Dependency registry build,OK,2025-11-16 00:26:13.230539,,,
Sanity preview printout,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,info,,,,,,,,,,2.0.8,,OK,2025-11-16 00:26:15.612567,,,
Sanity preview printout,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,info,,,,,,,,,,2.0.8,Sanity preview printout,OK,2025-11-16 00:29:16.744998,,,
Sanity preview printout,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,info,,,,,,,,,,2.0.8,Sanity preview printout,OK,2025-11-16 00:32:00.984845,,,
