check,dataset_version_id,detail,git_hash,level,n_candidate_ids,n_cols,n_id_configured,n_id_in_df,n_missing,n_protected,n_required,n_rows,overall_null_pct,section,section_name,status,timestamp,top_missing_col,top_missing_pct,total_mem_mb
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,info,,21.0,,,,,,7043.0,,2.0.1,Environment & config readiness preflight,OK,2025-11-16 13:02:49.797815,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,info,,,,,0.0,,4.0,,,2.0.2,Config & constants validation,OK,2025-11-16 13:02:53.785428,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,2105df6bef50becb6777bff221045399e61ce56f,info,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-16 13:03:02.073406,,,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,info,,21.0,,,,,,7043.0,,2.0.4,Dataset snapshot & preview,OK,2025-11-16 13:03:14.054545,,,6.5061
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,info,,21.0,,,,,,7043.0,,2.0.1,Environment & config readiness preflight,OK,2025-11-16 13:04:25.070562,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,info,,,,,0.0,,4.0,,,2.0.2,Config & constants validation,OK,2025-11-16 13:04:25.143951,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,2105df6bef50becb6777bff221045399e61ce56f,info,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-16 13:04:25.252103,,,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,info,,21.0,,,,,,7043.0,,2.0.4,Dataset snapshot & preview,OK,2025-11-16 13:04:25.436052,,,6.5061
"Overall missingness, dtype distribution, top-N missing columns",,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,info,,21.0,,,,,,7043.0,0.0074,2.0.5,Row/Column baseline summary (lightweight),OK,2025-11-16 13:04:25.541011,TotalCharges,0.1562,
Config-driven IDs and protected columns snapshot,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,info,0.0,,1.0,1.0,,3.0,,,,2.0.6,ID & protected columns snapshot,OK,2025-11-16 13:04:25.613245,,,
Dependency registry build,,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,,info,,,,,,,,,,2.0.7,Dependency registry build,OK,2025-11-16 13:04:25.807962,,,
Sanity preview printout,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,info,,,,,,,,,,2.0.8,Sanity preview printout,OK,2025-11-16 13:04:25.889800,,,
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,info,,21.0,,,,,,7043.0,,2.0.1,Environment & config readiness preflight,OK,2025-11-16 13:27:31.195580,,,
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,info,,21.0,,,,,,7043.0,,2.0.1,Environment & config readiness preflight,OK,2025-11-16 13:29:12.168943,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,info,,,,,0.0,,4.0,,,2.0.2,Config & constants validation,OK,2025-11-16 13:29:12.236661,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,2105df6bef50becb6777bff221045399e61ce56f,info,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-16 13:29:12.372692,,,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,info,,21.0,,,,,,7043.0,,2.0.4,Dataset snapshot & preview,OK,2025-11-16 13:29:12.495641,,,6.5061
"Overall missingness, dtype distribution, top-N missing columns",,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,info,,21.0,,,,,,7043.0,0.0074,2.0.5,Row/Column baseline summary (lightweight),OK,2025-11-16 13:29:12.550443,TotalCharges,0.1562,
Config-driven IDs and protected columns snapshot,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,info,0.0,,1.0,1.0,,3.0,,,,2.0.6,ID & protected columns snapshot,OK,2025-11-16 13:29:12.618187,,,
Dependency registry build,,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,,info,,,,,,,,,,2.0.7,Dependency registry build,OK,2025-11-16 13:29:12.774736,,,
Sanity preview printout,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,info,,,,,,,,,,2.0.8,Sanity preview printout,OK,2025-11-16 13:29:12.829406,,,
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,info,,21.0,,,,,,7043.0,,2.0.1,Environment & config readiness preflight,OK,2025-11-16 13:36:15.394304,,,
