check,dataset_version_id,detail,encoded_target,git_hash,imbalance_ratio,level,n_candidate_ids,n_cols,n_id_configured,n_id_in_df,n_invalid_raw,n_missing,n_neg,n_null_raw,n_pos,n_protected,n_required,n_rows,overall_null_pct,pct_invalid_raw,raw_target_col,section,section_name,status,timestamp,top_missing_col,top_missing_pct,total_mem_mb
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,info,,21.0,,,,,,,,,,7043.0,,,,2.0.1,Environment & config readiness preflight,OK,2025-11-20 15:42:46.859286,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,,,info,,,,,,0.0,,,,,4.0,,,,,2.0.2,Config & constants validation,OK,2025-11-20 15:42:49.547068,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,,234fea7fe75632c511193cbfbde035d312c4b61e,,info,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-20 15:43:01.988372,,,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,info,,21.0,,,,,,,,,,7043.0,,,,2.0.4,Dataset snapshot & preview,OK,2025-11-20 15:43:04.617263,,,6.5061
Dependency registry build,,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,,,,info,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,OK,2025-11-20 15:43:37.282440,,,
Sanity preview printout,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,info,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,2025-11-20 15:43:42.707668,,,
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,info,,21.0,,,,,,,,,,7043.0,,,,2.0.1,Environment & config readiness preflight,OK,2025-11-20 18:34:22.467749,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,,,info,,,,,,0.0,,,,,4.0,,,,,2.0.2,Config & constants validation,OK,2025-11-20 18:34:25.420294,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,,234fea7fe75632c511193cbfbde035d312c4b61e,,info,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-20 18:34:29.994822,,,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,info,,21.0,,,,,,,,,,7043.0,,,,2.0.4,Dataset snapshot & preview,OK,2025-11-20 18:34:32.861621,,,6.5061
"Overall missingness, dtype distribution, top-N missing columns",,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,info,,21.0,,,,,,,,,,7043.0,0.0074,,,2.0.5,Row/Column baseline summary (lightweight),OK,2025-11-20 18:34:39.545149,TotalCharges,0.1562,
Config-driven IDs and protected columns snapshot,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,info,0.0,,1.0,1.0,,,,,,3.0,,,,,,2.0.6,ID & protected columns snapshot,OK,2025-11-20 18:34:43.054567,,,
Dependency registry build,,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,,,,info,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,OK,2025-11-20 18:34:46.624293,,,
Sanity preview printout,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,info,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,2025-11-20 18:34:48.888197,,,
Create Churn_flag and validate raw target labels,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",Churn_flag,,0.3612,info,,,,,0.0,,5174.0,0.0,1869.0,,,7043.0,,0.0,Churn,2.1.1,Target variable creation & validation,OK,2025-11-20 18:35:02.609783,,,
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,info,,21.0,,,,,,,,,,7043.0,,,,2.0.1,Environment & config readiness preflight,OK,2025-11-20 18:42:18.004614,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,,,info,,,,,,0.0,,,,,4.0,,,,,2.0.2,Config & constants validation,OK,2025-11-20 18:42:20.556725,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,,234fea7fe75632c511193cbfbde035d312c4b61e,,info,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-20 18:42:26.790210,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,,,info,,,,,,0.0,,,,,4.0,,,,,2.0.2,Config & constants validation,OK,2025-11-20 18:44:23.929810,,,
Section 2 run metadata snapshot,1,Metadata saved to section2_run_metadata.json,,234fea7fe75632c511193cbfbde035d312c4b61e,,info,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,2025-11-20 18:44:28.936629,,,
