apply_coercion,avg_readiness,check,contracts_hard_fail,dataset_version_id,delta_threshold,detail,drift_high_count,dtype_after_enforce,encoded_target,full_row_dupes,git_hash,has_config_hash,has_data_snapshot_id,has_full_dupes,imbalance_ratio,integrity_index,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,max_psi,max_score_observed,n_actual,n_alerts,n_anomalies,n_anomalous_buckets,n_anomaly_rows,n_applied,n_artifacts_exist,n_artifacts_total,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_columns_profiled,n_columns_scanned,n_columns_with_anomalies,n_columns_with_domains,n_columns_with_drift,n_columns_with_hygiene_issues,n_columns_with_invalid_tokens,n_columns_with_rare_categories,n_columns_with_unexpected_values,n_constant_cols,n_continuous,n_contracts,n_contracts_fail_hard,n_contracts_warn_soft,n_critical,n_critical_alerts,n_critical_features,n_critical_issue_types,n_critical_token_columns,n_datetime,n_distinct_issue_pairs,n_dominant_domains,n_drift_high,n_drift_medium,n_edges,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features,n_features_checked,n_features_monitored,n_features_simulated,n_fk_with_unmatched,n_flags,n_foreign_keys,n_fragmented_domains,n_groups_configured,n_groups_evaluated,n_groups_valid_config,n_groups_with_violations,n_hard_rules,n_high_bias_risk,n_high_card_cols,n_high_cardinality_columns,n_high_cv,n_high_drift_columns,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_intervals_checked,n_intervals_with_violations,n_invalid_raw,n_invalid_target_vals,n_issue_files,n_keys_with_duplicates,n_keys_with_nulls,n_low_entropy,n_low_readiness,n_mismatched,n_missing,n_near_constant,n_neg,n_nodes,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_pairs_involving_model_features,n_pairs_total,n_panels_rendered,n_perf_critical,n_perf_warn,n_pos,n_preview_cols,n_preview_rows,n_primary_keys,n_protected,n_protected_columns,n_quasi_identifier_columns,n_rare_values_total,n_ratio_rules,n_red,n_redundant_pairs,n_renamed_pairs,n_required,n_rows,n_rows_raw,n_rows_scored,n_rules,n_rules_configured,n_rules_covered,n_rules_evaluated,n_rules_failing_reconciliation,n_rules_missing_columns,n_rules_no_valid_rows,n_rules_with_anomalies,n_rules_with_violations,n_schemes_exceeding_max_dim,n_sections,n_sections_2_5,n_sections_fail,n_soft_rules,n_sources_configured,n_sources_nonempty,n_sources_with_file,n_status_fail,n_status_ok,n_status_warn,n_strong_pairs,n_strong_target_pairs,n_target,n_time_outliers,n_unassigned,n_unexpected,n_unexpected_values_total,n_valid_ok,n_warn,n_yellow,n_zero_inflated,overall_contract_status,overall_null_pct,pct_invalid_raw,raw_target_col,raw_target_column,section,section_name,status,target_column,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,total_runtime_sec,window_size
,,Environment & config readiness preflight,,,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.1,Environment & config readiness preflight,OK,,,,2025-11-20 21:45:02.388918,,,,,
,,Config & constants validation for Section 2,,,,All required config roots present and Section 2 constants registered.,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.2,Config & constants validation,OK,,,,2025-11-20 21:45:02.556810,,,,,
,,Section 2 run metadata snapshot,,1.0,,Metadata saved to section2_run_metadata.json,,,,,234fea7fe75632c511193cbfbde035d312c4b61e,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,OK,,,,2025-11-20 21:45:03.430472,,,,,
,,Dataset-level shape & memory snapshot,,,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.4,Dataset snapshot & preview,OK,,,,2025-11-20 21:45:03.625672,,,6.5061,,
,,"Overall missingness, dtype distribution, top-N missing columns",,,,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074,,,,2.0.5,Row/Column baseline summary (lightweight),OK,,,,2025-11-20 21:45:03.756507,TotalCharges,0.1562,,,
,,Config-driven IDs and protected columns snapshot,,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,OK,,,,2025-11-20 21:45:03.827355,,,,,
,,Dependency registry build,,,,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,OK,,,,2025-11-20 21:45:03.914293,,,,,
,,Sanity preview printout,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,OK,,,,2025-11-20 21:45:03.994385,,,,,
,,Create Churn_flag and validate raw target labels,,,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",,,Churn_flag,,,,,,0.3612,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,5174.0,,,,,0.0,,,,,,,,,,,,,1869.0,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Churn,,2.1.1,Target variable creation & validation,OK,,,,2025-11-20 21:45:04.126841,,,,,
,,ID & key field verification,,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,OK,,,,2025-11-20 21:45:04.190118,,,,,
