column,target_dtype,old_dtype,new_dtype,n_non_null_before,n_non_null_after,n_errors,status,notes
customerID,categorical,object,category,7043,7043,0,ok,
gender,categorical,object,category,7043,7043,0,ok,
SeniorCitizen,numeric,int64,int64,7043,7043,0,ok,
Partner,categorical,object,category,7043,7043,0,ok,
Dependents,categorical,object,category,7043,7043,0,ok,
tenure,numeric,int64,int64,7043,7043,0,ok,
PhoneService,categorical,object,category,7043,7043,0,ok,
MultipleLines,categorical,object,category,7043,7043,0,ok,
InternetService,categorical,object,category,7043,7043,0,ok,
OnlineSecurity,categorical,object,category,7043,7043,0,ok,
OnlineBackup,categorical,object,category,7043,7043,0,ok,
DeviceProtection,categorical,object,category,7043,7043,0,ok,
TechSupport,categorical,object,category,7043,7043,0,ok,
StreamingTV,categorical,object,category,7043,7043,0,ok,
StreamingMovies,categorical,object,category,7043,7043,0,ok,
Contract,categorical,object,category,7043,7043,0,ok,
PaperlessBilling,categorical,object,category,7043,7043,0,ok,
PaymentMethod,categorical,object,category,7043,7043,0,ok,
MonthlyCharges,numeric,float64,float64,7043,7043,0,ok,
TotalCharges,numeric,float64,float64,7032,7032,0,ok,
Churn,categorical,object,category,7043,7043,0,ok,
Churn_flag,numeric,Int8,Int8,7043,7043,0,ok,
SeniorCitizen_flag_text,categorical,category,category,7043,7043,0,ok,
Senior_flag,numeric,boolean,boolean,7043,7043,0,ok,
pseudo_start,datetime,datetime64[s],datetime64[s],7043,7043,0,ok,
pseudo_end,datetime,datetime64[ns],datetime64[ns],7043,7043,0,ok,
expected_total_from_tenure_monthly,numeric,float64,float64,7043,7043,0,ok,
expected_total_for_zero_tenure,numeric,float64,float64,11,11,0,ok,
expected_min_total_from_contract,numeric,float64,float64,7043,7043,0,ok,
expected_total_senior,numeric,float64,float64,1142,1142,0,ok,
expected_total_from_payment_profile,numeric,float64,float64,7043,7043,0,ok,
