column,n_unique,cardinality_ratio,high_cardinality,near_unique,quasi_identifier_risk,role,feature_group
PaymentMethod,4,0.00057,False,False,False,feature,unknown
InternetService,3,0.00043,False,False,False,feature,unknown
OnlineBackup,3,0.00043,False,False,False,feature,unknown
Contract,3,0.00043,False,False,False,feature,unknown
StreamingMovies,3,0.00043,False,False,False,feature,unknown
StreamingTV,3,0.00043,False,False,False,feature,unknown
MultipleLines,3,0.00043,False,False,False,feature,unknown
DeviceProtection,3,0.00043,False,False,False,feature,unknown
TechSupport,3,0.00043,False,False,False,feature,unknown
OnlineSecurity,3,0.00043,False,False,False,feature,unknown
gender,2,0.00028,False,False,False,feature,unknown
PaperlessBilling,2,0.00028,False,False,False,feature,unknown
Partner,2,0.00028,False,False,False,feature,unknown
PhoneService,2,0.00028,False,False,False,feature,unknown
Dependents,2,0.00028,False,False,False,feature,unknown
SeniorCitizen_flag_text,2,0.00028,False,False,False,feature,unknown
Churn,2,0.00028,False,False,False,feature,unknown
Senior_flag,2,0.00028,False,False,False,feature,unknown
customerID,1,0.00014,False,False,False,feature,unknown
