column,pct_missing_before,pct_missing_after,delta_pct_missing,mean_before,mean_after,delta_mean,std_before,std_after,delta_std,distinct_before,distinct_after,delta_distinct
gender,0.0,0.0,0.0,,,,,,,2,2,0
SeniorCitizen,0.0,0.0,0.0,0.1621468124378816,0.1621468124378816,0.0,0.3686116056100131,0.3686116056100131,0.0,2,2,0
Partner,0.0,0.0,0.0,,,,,,,2,2,0
Dependents,0.0,0.0,0.0,,,,,,,2,2,0
tenure,0.0,0.0,0.0,32.37271049268777,32.37271049268777,0.0,24.557453789657618,24.557453789657618,0.0,72,72,0
PhoneService,0.0,0.0,0.0,,,,,,,2,2,0
MultipleLines,0.0,0.0,0.0,,,,,,,3,3,0
InternetService,0.0,0.0,0.0,,,,,,,3,3,0
OnlineSecurity,0.0,0.0,0.0,,,,,,,3,3,0
OnlineBackup,0.0,0.0,0.0,,,,,,,3,3,0
DeviceProtection,0.0,0.0,0.0,,,,,,,3,3,0
TechSupport,0.0,0.0,0.0,,,,,,,3,3,0
StreamingTV,0.0,0.0,0.0,,,,,,,3,3,0
StreamingMovies,0.0,0.0,0.0,,,,,,,3,3,0
Contract,0.0,0.0,0.0,,,,,,,3,3,0
PaperlessBilling,0.0,0.0,0.0,,,,,,,2,2,0
PaymentMethod,0.0,0.0,0.0,,,,,,,4,4,0
MonthlyCharges,0.0,0.0,0.0,64.74956612523071,64.7494949094988,7.12157319213702e-05,30.062605717811344,30.062487340919187,0.00011837689215710157,1529,1529,0
TotalCharges,0.0,0.0,0.0,2279.34760273747,2279.3394841440295,0.00811859344048571,2258.504638857607,2258.483937240509,0.020701617097984126,6441,6441,0
Churn,0.0,0.0,0.0,,,,,,,2,2,0
Churn_flag,0.0,0.0,0.0,0.2653698707936959,0.2653698707936959,0.0,0.441561305121947,0.441561305121947,0.0,2,2,0
SeniorCitizen_flag_text,0.0,0.0,0.0,,,,,,,2,2,0
Senior_flag,0.0,0.0,0.0,0.1621468124378816,0.1621468124378816,0.0,0.3686116056100131,0.3686116056100131,0.0,2,2,0
pseudo_start,0.0,0.0,0.0,,,,,,,1,1,0
pseudo_end,0.0,0.0,0.0,,,,,,,73,73,0
expected_total_from_tenure_monthly,0.0,0.0,0.0,2278.738550330825,2277.1310577594772,1.6074925713478478,2262.2548929700915,2258.0784702991723,4.176422670919237,5985,5945,40
expected_total_for_zero_tenure,100.0,100.0,0.0,,,,,,,0,0,0
expected_min_total_from_contract,0.0,0.0,0.0,28.21756975152634,28.216705807184436,0.0008639443419049542,38.416020540054646,38.414075903735814,0.001944636318832238,1171,1169,2
expected_total_senior,83.78531875621185,83.78531875621185,0.0,2810.115856830123,2809.0067084063044,1.109148423818624,2357.093263186765,2354.111754290497,2.981508896267769,1111,1096,15
expected_total_from_payment_profile,0.0,0.0,0.0,2278.738550330825,2277.1310577594772,1.6074925713478478,2262.2548929700915,2258.0784702991723,4.176422670919237,5985,5945,40
tenure_months_bucket,0.0,0.0,0.0,,,,,,,5,5,0
total_charges_per_month,0.0,0.0,0.0,66.84921551416085,66.84910230405261,0.00011321010823905908,60.62889442162581,60.62880993694944,8.448467637123258e-05,6506,6506,0
