feature_a,feature_b,cramers_v,theils_u_ab,theils_u_ba,association_label
customerID,gender,0.0,,0.0,Very weak / none
customerID,Partner,0.0,,0.0,Very weak / none
customerID,Dependents,0.0,,0.0,Very weak / none
customerID,PhoneService,0.0,,0.0,Very weak / none
customerID,MultipleLines,0.0,,0.0,Very weak / none
customerID,InternetService,0.0,,0.0,Very weak / none
customerID,OnlineSecurity,0.0,,0.0,Very weak / none
customerID,OnlineBackup,0.0,,0.0,Very weak / none
customerID,DeviceProtection,0.0,,0.0,Very weak / none
customerID,TechSupport,0.0,,0.0,Very weak / none
customerID,StreamingTV,0.0,,0.0,Very weak / none
customerID,StreamingMovies,0.0,,0.0,Very weak / none
customerID,Contract,0.0,,0.0,Very weak / none
customerID,PaperlessBilling,0.0,,0.0,Very weak / none
customerID,PaymentMethod,0.0,,0.0,Very weak / none
customerID,Churn,0.0,,0.0,Very weak / none
customerID,SeniorCitizen_flag_text,0.0,,0.0,Very weak / none
customerID,Senior_flag,0.0,,0.0,Very weak / none
customerID,pseudo_start,0.0,,,Very weak / none
customerID,_logic_repair_applied,0.0,,,Very weak / none
customerID,tenure_months_bucket,0.0,,0.0,Very weak / none
gender,Partner,0.0,2.358348144501951e-06,2.3601550601941314e-06,Very weak / none
gender,Dependents,0.0,7.979286930513674e-05,9.058678360854915e-05,Very weak / none
gender,PhoneService,0.0,3.036862442110996e-05,6.617590028751493e-05,Very weak / none
gender,MultipleLines,0.0,6.444919012381766e-05,4.7413380309605295e-05,Very weak / none
gender,InternetService,0.0,9.243886016810493e-05,6.045748400575596e-05,Very weak / none
gender,OnlineSecurity,0.0024157577712029103,0.00020909124451812532,0.0001397334978472712,Very weak / none
gender,OnlineBackup,0.0,0.00013734820541705058,8.980600614852708e-05,Very weak / none
gender,DeviceProtection,0.0,2.6225816785570908e-05,1.715182048345678e-05,Very weak / none
gender,TechSupport,0.0,6.818721704909157e-05,4.548476674493993e-05,Very weak / none
gender,StreamingTV,0.0,5.642958071692454e-05,3.670759062409716e-05,Very weak / none
gender,StreamingMovies,0.0,8.168044880062606e-05,5.312834158865347e-05,Very weak / none
gender,Contract,0.0,4.795171586002055e-05,3.327607955227944e-05,Very weak / none
gender,PaperlessBilling,0.0,9.966553792183681e-05,0.00010218080496897268,Very weak / none
gender,PaymentMethod,0.0,0.00025082767550330023,0.00012710953623810747,Very weak / none
gender,Churn,0.0,5.350282941972889e-05,6.409086889691715e-05,Very weak / none
gender,SeniorCitizen_flag_text,0.0,2.5326201100702233e-06,3.96054510683789e-06,Very weak / none
gender,Senior_flag,0.0,2.5326201100702233e-06,3.96054510683789e-06,Very weak / none
gender,pseudo_start,0.0,0.0,,Very weak / none
gender,_logic_repair_applied,0.0,0.0,,Very weak / none
gender,tenure_months_bucket,0.0,0.0003721988645983749,0.00016602243771692823,Very weak / none
Partner,Dependents,0.4525194051249648,0.15710513505502705,0.17822085308968372,Moderate
Partner,PhoneService,0.01309524333552745,0.00022667171030706226,0.0004935594137060082,Very weak / none
Partner,MultipleLines,0.14290743002588843,0.014995497220360565,0.011023302003147021,Very weak / none
Partner,InternetService,0.0,5.943737840999145e-07,3.8843871987394463e-07,Very weak / none
Partner,OnlineSecurity,0.1510727422759483,0.016754365837815647,0.01118819578321083,Very weak / none
Partner,OnlineBackup,0.15240793950312123,0.017049642621263305,0.011139483486570522,Very weak / none
Partner,DeviceProtection,0.16571353490365112,0.020136756123051117,0.013159460667540878,Very weak / none
Partner,TechSupport,0.12652413930364217,0.011794519533321404,0.007861594521917975,Very weak / none
Partner,StreamingTV,0.13630478651497044,0.013672071668187577,0.008886909608677216,Very weak / none
Partner,StreamingMovies,0.12847328485374301,0.012164426815905228,0.007906188678639299,Very weak / none
Partner,Contract,0.29555940365507605,0.06452215031566515,0.04474084834443897,Weak
Partner,PaperlessBilling,0.008905547625639713,0.00015976352865048094,0.00016367009293079688,Very weak / none
Partner,PaymentMethod,0.16144827068826287,0.019208695636305978,0.009726754089564605,Very weak / none
Partner,Churn,0.1499748601334884,0.01653787456088377,0.0197955003590357,Very weak / none
Partner,SeniorCitizen_flag_text,0.011381609904963681,0.00019594673890009233,0.00030618952789798266,Very weak / none
Partner,Senior_flag,0.011381609904963681,0.00019594673890009233,0.00030618952789798266,Very weak / none
Partner,pseudo_start,0.0,0.0,,Very weak / none
Partner,_logic_repair_applied,0.0,0.0,,Very weak / none
Partner,tenure_months_bucket,0.3687912179983552,0.10287028697399109,0.04585102767081689,Weak
Dependents,PhoneService,0.0,2.538174329331459e-06,4.871867045578657e-06,Very weak / none
Dependents,MultipleLines,0.01859299466125374,0.000516605096997275,0.0003347660316494753,Very weak / none
Dependents,InternetService,0.17947777142248567,0.02667396338121645,0.0153667590323657,Very weak / none
Dependents,OnlineSecurity,0.1938480639087047,0.03112080937309177,0.018319550313005677,Very weak / none
Dependents,OnlineBackup,0.16188530940666354,0.021416644815578267,0.012334827213719235,Very weak / none
Dependents,DeviceProtection,0.15666629640123497,0.019960496923002738,0.011498780695816615,Very weak / none
Dependents,TechSupport,0.18159713805063535,0.027186775167409336,0.015974230408317722,Very weak / none
Dependents,StreamingTV,0.1461137700781148,0.017170250422767593,0.00983841024777048,Very weak / none
Dependents,StreamingMovies,0.14032703840776659,0.015710414007293567,0.009001088185994148,Very weak / none
Dependents,Contract,0.24363005978117966,0.0482965623761162,0.029521842854375122,Weak
Dependents,PaperlessBilling,0.11073789807771107,0.010075607150941622,0.009099023215064507,Very weak / none
Dependents,PaymentMethod,0.1493243835136193,0.019395555073029497,0.0086577319640344,Very weak / none
Dependents,Churn,0.1637884721969936,0.023696814513892297,0.025003949982593882,Very weak / none
Dependents,SeniorCitizen_flag_text,0.2108486103582774,0.044488793777819176,0.06128226186310946,Weak
Dependents,Senior_flag,0.2108486103582774,0.044488793777819176,0.06128226186310946,Weak
Dependents,pseudo_start,0.0,0.0,,Very weak / none
Dependents,_logic_repair_applied,0.0,0.0,,Very weak / none
Dependents,tenure_months_bucket,0.15942350437193598,0.021645693640496313,0.008504768416418309,Very weak / none
