categorical_feature,numeric_feature,test_method,test_statistic,p_value,mutual_information,effect_label
customerID,SeniorCitizen,,,,0.0,Unknown
customerID,tenure,,,,0.0,Unknown
customerID,MonthlyCharges,,,,0.0,Unknown
customerID,TotalCharges,,,,0.0,Unknown
customerID,Churn_flag,,,,0.0,Unknown
customerID,expected_total_from_tenure_monthly,,,,0.0,Unknown
customerID,expected_total_for_zero_tenure,,,,0.0,Unknown
customerID,expected_min_total_from_contract,,,,0.0,Unknown
customerID,expected_total_senior,,,,0.0,Unknown
customerID,expected_total_from_payment_profile,,,,0.0,Unknown
customerID,total_charges_per_month,,,,0.0,Unknown
gender,SeniorCitizen,anova,0.024719596516357203,0.8750722952178809,0.0,Not significant
gender,tenure,anova,0.18399119852151938,0.6679785916861012,0.0004992423430616455,Not significant
gender,MonthlyCharges,anova,1.4858266478556317,0.22290594544454972,0.00015513456612303855,Not significant
gender,TotalCharges,anova,7.39699783129648e-05,0.993138058163586,0.0002945232556545996,Not significant
gender,Churn_flag,anova,0.5222569018402863,0.4699045390966534,0.0,Not significant
gender,expected_total_from_tenure_monthly,anova,1.770870108584192e-05,0.99664249463964,0.00022122630527432463,Not significant
gender,expected_total_for_zero_tenure,anova,,,0.0,Unknown
gender,expected_min_total_from_contract,anova,0.1376146322144668,0.7106751616274172,7.775405743259967e-05,Not significant
gender,expected_total_senior,anova,0.17684009348269542,0.6741822519159026,0.005993971929166619,Not significant
gender,expected_total_from_payment_profile,anova,1.770870108584192e-05,0.99664249463964,0.00022122630527432463,Not significant
gender,total_charges_per_month,anova,0.1336036257502776,0.7147355307636922,0.0002985008057376781,Not significant
Partner,SeniorCitizen,anova,1.9124758113498082,0.1667323539747384,0.0,Not significant
Partner,tenure,anova,1186.6430442786018,1.8524097651994337e-240,0.10748474913880957,Strong
Partner,MonthlyCharges,anova,66.57474902702762,3.957443339093459e-16,0.0120668352722757,Strong
Partner,TotalCharges,anova,794.8438453501233,8.754097336575578e-166,0.08587482710398708,Strong
Partner,Churn_flag,anova,163.06003598399454,6.220731129637685e-37,0.0,Strong
Partner,expected_total_from_tenure_monthly,anova,790.0233196109975,7.660695237555793e-165,0.08435952733708163,Strong
Partner,expected_total_for_zero_tenure,anova,,,0.0,Unknown
Partner,expected_min_total_from_contract,anova,527.1854879017146,1.4520890618641787e-112,0.05371314744634059,Strong
Partner,expected_total_senior,anova,128.27517522225858,2.9626904882093984e-28,0.08002829534339462,Strong
Partner,expected_total_from_payment_profile,anova,790.0233196109975,7.660695237555793e-165,0.08435952733708163,Strong
Partner,total_charges_per_month,anova,35.51307027121588,2.6556727411852853e-09,0.011680302606082993,Strong
Dependents,SeniorCitizen,anova,328.68146732431353,7.863819520059606e-72,0.0,Strong
Dependents,tenure,anova,184.564893949792,1.624291989899316e-41,0.02027266540795969,Strong
Dependents,MonthlyCharges,anova,92.72406599047804,8.189516821746845e-22,0.01056511854936426,Strong
Dependents,TotalCharges,anova,28.5495131318581,9.419506643078206e-08,0.008723065942452646,Strong
Dependents,Churn_flag,anova,195.1493137732394,9.140432989119264e-44,0.0,Strong
Dependents,expected_total_from_tenure_monthly,anova,27.398545390948662,1.7034184019364646e-07,0.008041289796013817,Strong
Dependents,expected_total_for_zero_tenure,,,,0.0,Unknown
Dependents,expected_min_total_from_contract,anova,131.29614455469545,3.940339941477896e-30,0.0274123051452122,Strong
Dependents,expected_total_senior,anova,19.81795494573662,9.353716876920004e-06,0.011433745627335234,Strong
Dependents,expected_total_from_payment_profile,anova,27.398545390948662,1.7034184019364646e-07,0.008041289796013817,Strong
Dependents,total_charges_per_month,anova,0.08547480512352222,0.77001943297597,0.010206175029136677,Not significant
PhoneService,SeniorCitizen,anova,0.5179364258183977,0.47174716058972466,0.0,Not significant
PhoneService,tenure,anova,0.500477884554003,0.4793136332609933,0.0004314035608712352,Not significant
PhoneService,MonthlyCharges,anova,459.4152291917001,8.759785775925438e-99,0.16805258608097207,Strong
PhoneService,TotalCharges,anova,91.0352333103455,1.9015921488219864e-21,0.020360523470277503,Strong
PhoneService,Churn_flag,anova,1.004266474792057,0.31631478134436675,0.0,Not significant
PhoneService,expected_total_from_tenure_monthly,anova,91.56710268452782,1.458409099060067e-21,0.0206641137839072,Strong
PhoneService,expected_total_for_zero_tenure,anova,,,0.0,Unknown
PhoneService,expected_min_total_from_contract,anova,22.229830963022863,2.4654069959829116e-06,0.04797235865038285,Strong
PhoneService,expected_total_senior,anova,39.140680751546796,5.568964032396165e-10,0.037776081903062586,Strong
PhoneService,expected_total_from_payment_profile,anova,91.56710268452782,1.458409099060067e-21,0.0206641137839072,Strong
PhoneService,total_charges_per_month,anova,91.26508141511887,1.6955679353889675e-21,0.15995682822563717,Strong
MultipleLines,SeniorCitizen,anova,77.35809049445604,5.856717485188522e-34,0.0,Strong
MultipleLines,tenure,anova,470.6059899066235,1.490812784460338e-192,0.08786165092123799,Strong
MultipleLines,MonthlyCharges,anova,1195.8249992298188,0.0,0.32711323356753974,Strong
