feature_1,feature_2,kind,score,path
expected_total_from_tenure_monthly,expected_total_from_payment_profile,numeric_numeric_scatter,1.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_total_from_tenure_monthly__vs__expected_total_from_payment_profile_scatter.png
expected_total_from_tenure_monthly,expected_total_senior,numeric_numeric_scatter,0.9999988760201978,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_total_from_tenure_monthly__vs__expected_total_senior_scatter.png
expected_total_senior,expected_total_from_payment_profile,numeric_numeric_scatter,0.9999988760201978,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_total_senior__vs__expected_total_from_payment_profile_scatter.png
TotalCharges,expected_total_senior,numeric_numeric_scatter,0.9996151982804534,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/TotalCharges__vs__expected_total_senior_scatter.png
TotalCharges,expected_total_from_tenure_monthly,numeric_numeric_scatter,0.9992856821098772,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/TotalCharges__vs__expected_total_from_tenure_monthly_scatter.png
TotalCharges,expected_total_from_payment_profile,numeric_numeric_scatter,0.9992856821098772,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/TotalCharges__vs__expected_total_from_payment_profile_scatter.png
MonthlyCharges,total_charges_per_month,numeric_numeric_scatter,0.9864439060820251,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/MonthlyCharges__vs__total_charges_per_month_scatter.png
tenure,expected_total_senior,numeric_numeric_scatter,0.927475954229548,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__expected_total_senior_scatter.png
tenure,expected_total_from_tenure_monthly,numeric_numeric_scatter,0.8900105107673252,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__expected_total_from_tenure_monthly_scatter.png
tenure,expected_total_from_payment_profile,numeric_numeric_scatter,0.8900105107673252,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__expected_total_from_payment_profile_scatter.png
tenure,TotalCharges,numeric_numeric_scatter,0.8873795923254663,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__TotalCharges_scatter.png
expected_total_from_tenure_monthly,expected_min_total_from_contract,numeric_numeric_scatter,0.7367976122604283,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_total_from_tenure_monthly__vs__expected_min_total_from_contract_scatter.png
expected_min_total_from_contract,expected_total_from_payment_profile,numeric_numeric_scatter,0.7367976122604283,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_min_total_from_contract__vs__expected_total_from_payment_profile_scatter.png
TotalCharges,expected_min_total_from_contract,numeric_numeric_scatter,0.7364878326932887,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/TotalCharges__vs__expected_min_total_from_contract_scatter.png
expected_min_total_from_contract,expected_total_senior,numeric_numeric_scatter,0.6792964544131889,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_min_total_from_contract__vs__expected_total_senior_scatter.png
tenure,expected_min_total_from_contract,numeric_numeric_scatter,0.6768192473905307,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__expected_min_total_from_contract_scatter.png
MonthlyCharges,expected_total_from_tenure_monthly,numeric_numeric_scatter,0.6509807454198602,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/MonthlyCharges__vs__expected_total_from_tenure_monthly_scatter.png
MonthlyCharges,expected_total_from_payment_profile,numeric_numeric_scatter,0.6509807454198602,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/MonthlyCharges__vs__expected_total_from_payment_profile_scatter.png
MonthlyCharges,TotalCharges,numeric_numeric_scatter,0.6502951296662559,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/MonthlyCharges__vs__TotalCharges_scatter.png
TotalCharges,total_charges_per_month,numeric_numeric_scatter,0.634820335903575,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/TotalCharges__vs__total_charges_per_month_scatter.png
MonthlyCharges,expected_total_senior,numeric_numeric_scatter,0.628262900150954,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/MonthlyCharges__vs__expected_total_senior_scatter.png
expected_total_from_tenure_monthly,total_charges_per_month,numeric_numeric_scatter,0.6261369013360243,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_total_from_tenure_monthly__vs__total_charges_per_month_scatter.png
expected_total_from_payment_profile,total_charges_per_month,numeric_numeric_scatter,0.6261369013360243,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_total_from_payment_profile__vs__total_charges_per_month_scatter.png
expected_total_senior,total_charges_per_month,numeric_numeric_scatter,0.6187671206399445,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/expected_total_senior__vs__total_charges_per_month_scatter.png
MonthlyCharges,expected_min_total_from_contract,numeric_numeric_scatter,0.385768875458011,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/MonthlyCharges__vs__expected_min_total_from_contract_scatter.png
tenure,Churn_flag,numeric_numeric_scatter,0.36739923486008863,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__Churn_flag_scatter.png
Churn_flag,expected_min_total_from_contract,numeric_numeric_scatter,0.35802065039895836,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/Churn_flag__vs__expected_min_total_from_contract_scatter.png
Churn_flag,expected_total_senior,numeric_numeric_scatter,0.35759581015293757,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/Churn_flag__vs__expected_total_senior_scatter.png
tenure,MonthlyCharges,numeric_numeric_scatter,0.27634951467339053,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__MonthlyCharges_scatter.png
tenure,total_charges_per_month,numeric_numeric_scatter,0.26617835839384396,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/numeric_numeric/tenure__vs__total_charges_per_month_scatter.png
Partner,expected_total_from_tenure_monthly,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Partner__vs__expected_total_from_tenure_monthly_box.png
Partner,Churn_flag,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Partner__vs__Churn_flag_box.png
OnlineSecurity,Churn_flag,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/OnlineSecurity__vs__Churn_flag_box.png
OnlineSecurity,expected_total_from_tenure_monthly,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/OnlineSecurity__vs__expected_total_from_tenure_monthly_box.png
Partner,expected_total_senior,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Partner__vs__expected_total_senior_box.png
Partner,expected_min_total_from_contract,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Partner__vs__expected_min_total_from_contract_box.png
Partner,TotalCharges,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Partner__vs__TotalCharges_box.png
Partner,tenure,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Partner__vs__tenure_box.png
Dependents,SeniorCitizen,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Dependents__vs__SeniorCitizen_box.png
Partner,expected_total_from_payment_profile,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Partner__vs__expected_total_from_payment_profile_box.png
Dependents,Churn_flag,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Dependents__vs__Churn_flag_box.png
Dependents,tenure,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Dependents__vs__tenure_box.png
Dependents,expected_min_total_from_contract,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/Dependents__vs__expected_min_total_from_contract_box.png
PhoneService,MonthlyCharges,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/PhoneService__vs__MonthlyCharges_box.png
OnlineSecurity,tenure,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/OnlineSecurity__vs__tenure_box.png
OnlineSecurity,SeniorCitizen,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/OnlineSecurity__vs__SeniorCitizen_box.png
OnlineSecurity,TotalCharges,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/OnlineSecurity__vs__TotalCharges_box.png
OnlineSecurity,MonthlyCharges,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/OnlineSecurity__vs__MonthlyCharges_box.png
InternetService,SeniorCitizen,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/InternetService__vs__SeniorCitizen_box.png
InternetService,MonthlyCharges,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/InternetService__vs__MonthlyCharges_box.png
InternetService,TotalCharges,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/InternetService__vs__TotalCharges_box.png
InternetService,Churn_flag,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/InternetService__vs__Churn_flag_box.png
InternetService,expected_min_total_from_contract,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/InternetService__vs__expected_min_total_from_contract_box.png
InternetService,expected_total_from_tenure_monthly,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/InternetService__vs__expected_total_from_tenure_monthly_box.png
InternetService,total_charges_per_month,categorical_numeric_box,12.0,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/2_10_bivariate/categorical_numeric/InternetService__vs__total_charges_per_month_box.png
