feature_a,category_a,feature_b,category_b,count,Churn_rate
customerID,Other,gender,Male,3555,0.7383966244725738
customerID,Other,gender,Female,3488,0.7307912844036697
customerID,Other,Partner,No,3641,0.6704202142268607
customerID,Other,Partner,Yes,3402,0.8033509700176367
customerID,Other,Dependents,No,4933,0.6872085951753497
customerID,Other,Dependents,Yes,2110,0.8454976303317535
customerID,Other,PhoneService,Yes,6361,0.7329036315044805
customerID,Other,PhoneService,No,682,0.750733137829912
customerID,Other,MultipleLines,No,3390,0.7495575221238938
customerID,Other,MultipleLines,Yes,2971,0.713901043419724
customerID,Other,MultipleLines,No phone service,682,0.750733137829912
customerID,Other,InternetService,Fiber optic,3096,0.5810723514211886
customerID,Other,InternetService,DSL,2421,0.8104089219330854
customerID,Other,InternetService,No,1526,0.9259501965923984
customerID,Other,OnlineSecurity,No,3498,0.5823327615780446
customerID,Other,OnlineSecurity,Yes,2019,0.8538880633977216
customerID,Other,OnlineSecurity,No internet service,1526,0.9259501965923984
customerID,Other,OnlineBackup,No,3088,0.6007124352331606
customerID,Other,OnlineBackup,Yes,2429,0.7846850555784274
customerID,Other,OnlineBackup,No internet service,1526,0.9259501965923984
customerID,Other,DeviceProtection,No,3095,0.6087237479806139
customerID,Other,DeviceProtection,Yes,2422,0.7749793559042114
customerID,Other,DeviceProtection,No internet service,1526,0.9259501965923984
customerID,Other,TechSupport,No,3473,0.5836452634609848
customerID,Other,TechSupport,Yes,2044,0.8483365949119374
customerID,Other,TechSupport,No internet service,1526,0.9259501965923984
customerID,Other,StreamingTV,No,2810,0.6647686832740214
customerID,Other,StreamingTV,Yes,2707,0.699298115995567
customerID,Other,StreamingTV,No internet service,1526,0.9259501965923984
customerID,Other,StreamingMovies,No,2785,0.6631956912028726
customerID,Other,StreamingMovies,Yes,2732,0.7005856515373353
customerID,Other,StreamingMovies,No internet service,1526,0.9259501965923984
customerID,Other,Contract,Month-to-month,3875,0.5729032258064516
customerID,Other,Contract,Two year,1695,0.9716814159292035
customerID,Other,Contract,One year,1473,0.8873048200950441
customerID,Other,PaperlessBilling,Yes,4171,0.6643490769599616
customerID,Other,PaperlessBilling,No,2872,0.8366991643454039
customerID,Other,PaymentMethod,Electronic check,2365,0.5471458773784356
customerID,Other,PaymentMethod,Mailed check,1612,0.8089330024813896
customerID,Other,PaymentMethod,Bank transfer (automatic),1544,0.832901554404145
customerID,Other,PaymentMethod,Credit card (automatic),1522,0.8475689881734559
customerID,Other,Churn,No,5174,1.0
customerID,Other,Churn,Yes,1869,0.0
customerID,Other,SeniorCitizen_flag_text,No,5901,0.763938315539739
customerID,Other,SeniorCitizen_flag_text,Yes,1142,0.5831873905429071
customerID,Other,Senior_flag,False,5901,0.763938315539739
customerID,Other,Senior_flag,True,1142,0.5831873905429071
customerID,Other,pseudo_start,2000-01-01 00:00:00,7043,0.7346301292063041
customerID,Other,pseudo_end,2000-01-31 00:00:00,613,0.3800978792822186
customerID,Other,pseudo_end,2005-11-30 00:00:00,362,0.9834254143646409
customerID,Other,pseudo_end,2000-03-01 00:00:00,238,0.4831932773109244
customerID,Other,pseudo_end,2000-03-31 00:00:00,200,0.53
customerID,Other,pseudo_end,2000-04-30 00:00:00,176,0.5284090909090909
customerID,Other,pseudo_end,2005-10-31 00:00:00,170,0.9647058823529412
customerID,Other,pseudo_end,2000-05-30 00:00:00,133,0.518796992481203
customerID,Other,pseudo_end,2000-07-29 00:00:00,131,0.6106870229007634
customerID,Other,pseudo_end,2000-08-28 00:00:00,123,0.6585365853658537
customerID,Other,pseudo_end,2000-09-27 00:00:00,119,0.6134453781512605
customerID,Other,_logic_repair_applied,False,7043,0.7346301292063041
customerID,Other,tenure_months_bucket,0-12,2186,0.5256175663311985
customerID,Other,tenure_months_bucket,36-60,1594,0.8337515683814304
customerID,Other,tenure_months_bucket,60+,1407,0.9339019189765458
customerID,Other,tenure_months_bucket,12-24,1024,0.712890625
customerID,Other,tenure_months_bucket,24-36,832,0.7836538461538461
gender,Male,Partner,No,1841,0.6849538294405214
gender,Male,Partner,Yes,1714,0.7957992998833139
gender,Female,Partner,No,1800,0.6555555555555556
gender,Female,Partner,Yes,1688,0.8110189573459715
gender,Male,Dependents,No,2473,0.6890416498180347
gender,Male,Dependents,Yes,1082,0.8512014787430684
gender,Female,Dependents,No,2460,0.6853658536585366
gender,Female,Dependents,Yes,1028,0.8394941634241245
gender,Male,PhoneService,Yes,3204,0.7378277153558053
gender,Male,PhoneService,No,351,0.7435897435897436
gender,Female,PhoneService,Yes,3157,0.7279062401013621
gender,Female,PhoneService,No,331,0.7583081570996979
gender,Male,MultipleLines,No,1719,0.7638161721931356
gender,Male,MultipleLines,Yes,1485,0.7077441077441078
gender,Male,MultipleLines,No phone service,351,0.7435897435897436
gender,Female,MultipleLines,No,1671,0.7348892878515859
gender,Female,MultipleLines,Yes,1486,0.7200538358008075
gender,Female,MultipleLines,No phone service,331,0.7583081570996979
gender,Male,InternetService,Fiber optic,1543,0.5897602073882048
gender,Male,InternetService,DSL,1233,0.805352798053528
gender,Male,InternetService,No,779,0.926829268292683
gender,Female,InternetService,Fiber optic,1553,0.5724404378622022
gender,Female,InternetService,DSL,1188,0.8156565656565656
gender,Female,InternetService,No,747,0.9250334672021419
gender,Male,OnlineSecurity,No,1784,0.5852017937219731
gender,Male,OnlineSecurity,Yes,992,0.8659274193548387
gender,Male,OnlineSecurity,No internet service,779,0.926829268292683
gender,Female,OnlineSecurity,No,1714,0.5793465577596266
gender,Female,OnlineSecurity,Yes,1027,0.8422590068159689
gender,Female,OnlineSecurity,No internet service,747,0.9250334672021419
gender,Male,OnlineBackup,No,1573,0.6090273363000636
gender,Male,OnlineBackup,Yes,1203,0.7855361596009975
gender,Male,OnlineBackup,No internet service,779,0.926829268292683
gender,Female,OnlineBackup,No,1515,0.592079207920792
gender,Female,OnlineBackup,Yes,1226,0.7838499184339315
gender,Female,OnlineBackup,No internet service,747,0.9250334672021419
gender,Male,DeviceProtection,No,1557,0.6178548490687219
gender,Male,DeviceProtection,Yes,1219,0.7719442165709598
gender,Male,DeviceProtection,No internet service,779,0.926829268292683
