categorical_feature,category,numeric_feature,n_observations,mean_value,median_value,Churn_rate
customerID,Other,SeniorCitizen,7043,0.1621468124378816,0.0,0.7346301292063041
customerID,Other,tenure,7043,32.37271049268777,29.0,0.7346301292063041
customerID,Other,MonthlyCharges,7043,64.74968891097544,70.35,0.7346301292063041
customerID,Other,TotalCharges,7043,2279.361600312367,1397.475,0.7346301292063041
customerID,Other,Churn_flag,7043,0.2653698707936959,0.0,0.7346301292063041
customerID,Other,expected_total_from_tenure_monthly,7043,2277.453315348573,1393.6000000000001,0.7346301292063041
customerID,Other,expected_min_total_from_contract,7043,28.15076089734488,0.0,0.7346301292063041
customerID,Other,expected_total_senior,1142,2809.477210157618,2245.35,0.5831873905429071
customerID,Other,expected_total_from_payment_profile,7043,2277.453315348573,1393.6000000000001,0.7346301292063041
customerID,Other,total_charges_per_month,7043,66.84941070400262,70.45,0.7346301292063041
gender,Male,SeniorCitizen,3555,0.16146272855133614,0.0,0.7383966244725738
gender,Female,SeniorCitizen,3488,0.1628440366972477,0.0,0.7307912844036697
gender,Male,tenure,3555,32.49704641350211,29.0,0.7383966244725738
gender,Female,tenure,3488,32.24598623853211,29.0,0.7307912844036697
gender,Male,MonthlyCharges,3555,64.31718677918424,70.1,0.7383966244725738
gender,Female,MonthlyCharges,3488,65.19049885321101,70.65,0.7307912844036697
gender,Male,TotalCharges,3555,2279.590885513361,1401.15,0.7383966244725738
gender,Female,TotalCharges,3488,2279.1279108371564,1389.05,0.7307912844036697
gender,Male,Churn_flag,3555,0.2616033755274262,0.0,0.7383966244725738
gender,Female,Churn_flag,3488,0.26920871559633025,0.0,0.7307912844036697
gender,Male,expected_total_from_tenure_monthly,3555,2277.5655274261603,1394.3999999999999,0.7383966244725738
gender,Female,expected_total_from_tenure_monthly,3488,2277.338947821101,1389.925,0.7307912844036697
gender,Male,expected_min_total_from_contract,3555,27.982545428973275,0.0,0.7383966244725738
gender,Female,expected_min_total_from_contract,3488,28.32220756880734,0.0,0.7307912844036697
gender,Male,expected_total_senior,574,2780.3158162020904,2244.0,0.5888501742160279
gender,Female,expected_total_senior,568,2838.946647007042,2254.575,0.5774647887323944
gender,Male,expected_total_from_payment_profile,3555,2277.5655274261603,1394.3999999999999,0.7383966244725738
gender,Female,expected_total_from_payment_profile,3488,2277.338947821101,1389.925,0.7307912844036697
gender,Male,total_charges_per_month,3555,66.58782974719391,70.02179487179487,0.7383966244725738
gender,Female,total_charges_per_month,3488,67.11601629501611,70.81582125603865,0.7307912844036697
Partner,No,SeniorCitizen,3641,0.15627574842076353,0.0,0.6704202142268607
Partner,Yes,SeniorCitizen,3402,0.16843033509700175,0.0,0.8033509700176367
Partner,No,tenure,3641,23.35841801702829,16.0,0.6704202142268607
Partner,Yes,tenure,3402,42.020282186948855,46.0,0.8033509700176367
Partner,No,MonthlyCharges,3641,61.937466904696514,68.65,0.6704202142268607
Partner,Yes,MonthlyCharges,3402,67.75947736625515,74.8,0.8033509700176367
Partner,No,TotalCharges,3641,1584.0942197198572,812.5,0.6704202142268607
Partner,Yes,TotalCharges,3402,3023.4734559082895,2341.85,0.8033509700176367
Partner,No,Churn_flag,3641,0.32957978577313923,0.0,0.6704202142268607
Partner,Yes,Churn_flag,3402,0.1966490299823633,0.0,0.8033509700176367
Partner,No,expected_total_from_tenure_monthly,3641,1583.927712166987,809.75,0.6704202142268607
Partner,Yes,expected_total_from_tenure_monthly,3402,3019.7010288065844,2358.5,0.8033509700176367
Partner,No,expected_min_total_from_contract,3641,18.350689096402085,0.0,0.6704202142268607
Partner,Yes,expected_min_total_from_contract,3402,38.63931510875955,20.35,0.8033509700176367
Partner,Yes,expected_total_senior,573,3555.460643106457,3290.85,0.6544502617801047
Partner,No,expected_total_senior,569,2058.249605448155,1347.75,0.5114235500878734
Partner,No,expected_total_from_payment_profile,3641,1583.927712166987,809.75,0.6704202142268607
Partner,Yes,expected_total_from_payment_profile,3402,3019.7010288065844,2358.5,0.8033509700176367
Partner,No,total_charges_per_month,3641,62.69804371315003,66.94375,0.6704202142268607
Partner,Yes,total_charges_per_month,3402,71.29242281855123,74.60214285714287,0.8033509700176367
Dependents,No,SeniorCitizen,4933,0.21305493614433407,0.0,0.6872085951753497
Dependents,Yes,SeniorCitizen,2110,0.04312796208530806,0.0,0.8454976303317535
Dependents,No,tenure,4933,29.8060004054328,25.0,0.6872085951753497
Dependents,Yes,tenure,2110,38.37345971563981,39.0,0.8454976303317535
Dependents,No,MonthlyCharges,4933,66.99110500709509,73.9,0.6872085951753497
Dependents,Yes,MonthlyCharges,2110,59.50944928909952,60.975,0.8454976303317535
Dependents,No,TotalCharges,4933,2185.5003855665923,1322.55,0.6872085951753497
Dependents,Yes,TotalCharges,2110,2498.8011132701417,1536.75,0.8454976303317535
Dependents,No,Churn_flag,4933,0.3127914048246503,0.0,0.6872085951753497
Dependents,Yes,Churn_flag,2110,0.15450236966824646,0.0,0.8454976303317535
Dependents,No,expected_total_from_tenure_monthly,4933,2185.4753294141497,1324.6,0.6872085951753497
Dependents,Yes,expected_total_from_tenure_monthly,2110,2492.4900000000002,1524.95,0.8454976303317535
Dependents,No,expected_min_total_from_contract,4933,24.751620109466856,0.0,0.6872085951753497
Dependents,Yes,expected_min_total_from_contract,2110,36.09766208530805,20.25,0.8454976303317535
Dependents,No,expected_total_senior,1051,2718.937387250238,2179.25,0.5680304471931494
Dependents,Yes,expected_total_senior,91,3855.162417582417,3977.2000000000003,0.7582417582417582
Dependents,No,expected_total_from_payment_profile,4933,2185.4753294141497,1324.6,0.6872085951753497
Dependents,Yes,expected_total_from_payment_profile,2110,2492.4900000000002,1524.95,0.8454976303317535
Dependents,No,total_charges_per_month,4933,66.98755557975798,72.9121212121212,0.6872085951753497
Dependents,Yes,total_charges_per_month,2110,66.52643976935754,62.07367424242425,0.8454976303317535
PhoneService,Yes,SeniorCitizen,6361,0.16318188963999372,0.0,0.7329036315044805
PhoneService,No,SeniorCitizen,682,0.15249266862170088,0.0,0.750733137829912
PhoneService,Yes,tenure,6361,32.440496777236284,29.0,0.7329036315044805
PhoneService,No,tenure,682,31.740469208211145,29.0,0.750733137829912
PhoneService,Yes,MonthlyCharges,6361,67.18575051092596,74.7,0.7329036315044805
PhoneService,No,MonthlyCharges,682,42.02859237536657,40.575,0.750733137829912
PhoneService,Yes,TotalCharges,6361,2362.9073810721584,1417.9,0.7329036315044805
PhoneService,No,TotalCharges,682,1500.1318181818183,1156.8,0.750733137829912
