column,is_config_categorical,is_binary_candidate,source,n_unique,sample_values,section_id,section_name,run_ts_utc
Churn,False,False,existing_category,2,"{""No"": 5174, ""Yes"": 1869}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
Contract,False,False,heuristic_small_cardinality,3,"{""Month-to-month"": 3875, ""Two year"": 1695, ""One year"": 1473}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
Dependents,False,True,default_binary,2,"{""No"": 4933, ""Yes"": 2110}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
DeviceProtection,False,True,default_binary,3,"{""No"": 3095, ""Yes"": 2422, ""No internet service"": 1526}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
InternetService,False,False,heuristic_small_cardinality,3,"{""Fiber optic"": 3096, ""DSL"": 2421, ""No"": 1526}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
MultipleLines,False,True,default_binary,3,"{""No"": 3390, ""Yes"": 2971, ""No phone service"": 682}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
OnlineBackup,False,True,default_binary,3,"{""No"": 3088, ""Yes"": 2429, ""No internet service"": 1526}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
OnlineSecurity,False,True,default_binary,3,"{""No"": 3498, ""Yes"": 2019, ""No internet service"": 1526}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
PaperlessBilling,False,True,default_binary,2,"{""Yes"": 4171, ""No"": 2872}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
Partner,False,True,default_binary,2,"{""No"": 3641, ""Yes"": 3402}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
PaymentMethod,False,False,heuristic_small_cardinality,4,"{""Electronic check"": 2365, ""Mailed check"": 1612, ""Bank transfer (automatic)"": 1544, ""Credit card (automatic)"": 1522}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
PhoneService,False,True,default_binary,2,"{""Yes"": 6361, ""No"": 682}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
StreamingMovies,False,True,default_binary,3,"{""No"": 2785, ""Yes"": 2732, ""No internet service"": 1526}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
StreamingTV,False,True,default_binary,3,"{""No"": 2810, ""Yes"": 2707, ""No internet service"": 1526}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
TechSupport,False,True,default_binary,3,"{""No"": 3473, ""Yes"": 2044, ""No internet service"": 1526}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
gender,False,False,heuristic_small_cardinality,2,"{""Male"": 3555, ""Female"": 3488}",1.5.6,Categorical registration & manifest,2025-11-20T21:59:51Z
