column,is_config_categorical,is_binary_candidate,source,n_unique,sample_values
Churn,False,False,existing_category,2,"{""No"": 5174, ""Yes"": 1869}"
Contract,False,False,heuristic_small_cardinality,3,"{""Month-to-month"": 3875, ""Two year"": 1695, ""One year"": 1473}"
Dependents,False,True,default_binary,2,"{""No"": 4933, ""Yes"": 2110}"
DeviceProtection,False,True,default_binary,3,"{""No"": 3095, ""Yes"": 2422, ""No internet service"": 1526}"
InternetService,False,False,heuristic_small_cardinality,3,"{""Fiber optic"": 3096, ""DSL"": 2421, ""No"": 1526}"
MultipleLines,False,True,default_binary,3,"{""No"": 3390, ""Yes"": 2971, ""No phone service"": 682}"
OnlineBackup,False,True,default_binary,3,"{""No"": 3088, ""Yes"": 2429, ""No internet service"": 1526}"
OnlineSecurity,False,True,default_binary,3,"{""No"": 3498, ""Yes"": 2019, ""No internet service"": 1526}"
PaperlessBilling,False,True,default_binary,2,"{""Yes"": 4171, ""No"": 2872}"
Partner,False,True,default_binary,2,"{""No"": 3641, ""Yes"": 3402}"
PaymentMethod,False,False,heuristic_small_cardinality,4,"{""Electronic check"": 2365, ""Mailed check"": 1612, ""Bank transfer (automatic)"": 1544, ""Credit card (automatic)"": 1522}"
PhoneService,False,True,default_binary,2,"{""Yes"": 6361, ""No"": 682}"
StreamingMovies,False,True,default_binary,3,"{""No"": 2785, ""Yes"": 2732, ""No internet service"": 1526}"
StreamingTV,False,True,default_binary,3,"{""No"": 2810, ""Yes"": 2707, ""No internet service"": 1526}"
TechSupport,False,True,default_binary,3,"{""No"": 3473, ""Yes"": 2044, ""No internet service"": 1526}"
gender,False,False,heuristic_small_cardinality,2,"{""Male"": 3555, ""Female"": 3488}"
