,customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,SeniorCitizen_flag_text,Senior_flag,pseudo_start,tenure_months_bucket,_logic_repair_applied
customerID,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gender,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0024157577712029103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partner,0.0,0.0,1.0,0.4525194051249648,0.01309524333552745,0.14290743002588843,0.0,0.1510727422759483,0.15240793950312123,0.16571353490365112,0.12652413930364217,0.13630478651497044,0.12847328485374301,0.29555940365507605,0.008905547625639713,0.16144827068826287,0.1499748601334884,0.011381609904963681,0.011381609904963681,0.0,0.3687912179983552,0.0
Dependents,0.0,0.0,0.4525194051249648,1.0,0.0,0.01859299466125374,0.17947777142248567,0.1938480639087047,0.16188530940666354,0.15666629640123497,0.18159713805063535,0.1461137700781148,0.14032703840776659,0.24363005978117966,0.11073789807771107,0.1493243835136193,0.1637884721969936,0.2108486103582774,0.2108486103582774,0.0,0.15942350437193598,0.0
PhoneService,0.0,0.0,0.01309524333552745,0.0,1.0,0.9998579848036578,0.4521115058725698,0.1754649106678818,0.17199435675107955,0.17149135976959817,0.17617237294854884,0.17964574331416858,0.1767185801568631,0.0,0.011419435191191632,0.0,0.0007783153789239917,0.0,0.0,0.0,0.017389985998855637,0.0
MultipleLines,0.0,0.0,0.14290743002588843,0.01859299466125374,0.9998579848036578,1.0,0.3964239416824232,0.22902150771761742,0.24461733837506677,0.24580007528065773,0.22957683660799352,0.2612855601121961,0.261851736104624,0.07863293204270524,0.1654847296363895,0.16567238997658312,0.03639700452670124,0.14567130587339208,0.14567130587339208,0.0,0.23873802378225,0.0
InternetService,0.0,0.0,0.0,0.17947777142248567,0.4521115058725698,0.3964239416824232,1.0,0.724373183315211,0.7070836382983393,0.7070072306646231,0.7228106651566129,0.7170027863156808,0.7159109936243645,0.2062627873976439,0.3780519285425558,0.31248637128022655,0.3220138660877818,0.2647882576161876,0.2647882576161876,0.0,0.018778393106607925,0.0
OnlineSecurity,0.0,0.0024157577712029103,0.1510727422759483,0.1938480639087047,0.1754649106678818,0.22902150771761742,0.724373183315211,1.0,0.7183387336492695,0.717195348034698,0.7329815449984237,0.7076882346999048,0.7081084537230841,0.30091986685805816,0.3413840397328189,0.3043026796051081,0.34699142698019597,0.21039640386648403,0.21039640386648403,0.0,0.2320077716640054,0.0
OnlineBackup,0.0,0.0,0.15240793950312123,0.16188530940666354,0.17199435675107955,0.24461733837506677,0.7070836382983393,0.7183387336492695,1.0,0.7190298742103919,0.7197392597981257,0.7146019752630102,0.7135841181041668,0.2580586610357929,0.3206031952858984,0.2818016870309208,0.2918293138903578,0.18199511267292492,0.18199511267292492,0.0,0.2608404867230418,0.0
DeviceProtection,0.0,0.0,0.16571353490365112,0.15666629640123497,0.17149135976959817,0.24580007528065773,0.7070072306646231,0.717195348034698,0.7190298742103919,1.0,0.7263929704004647,0.733571631894728,0.7359590442515681,0.2965400512141917,0.32118942701923436,0.2863187278165483,0.28107496472294224,0.1822938458964691,0.1822938458964691,0.0,0.2607180968775064,0.0
TechSupport,0.0,0.0,0.12652413930364217,0.18159713805063535,0.17617237294854884,0.22957683660799352,0.7228106651566129,0.7329815449984237,0.7197392597981257,0.7263929704004647,1.0,0.7161698389001873,0.7162300529878513,0.3306386036599037,0.329093086885294,0.3062369863067304,0.3425018376531092,0.22341579053679897,0.22341579053679897,0.0,0.23204698668549548,0.0
StreamingTV,0.0,0.0,0.13630478651497044,0.1461137700781148,0.17964574331416858,0.2612855601121961,0.7170027863156808,0.7076882346999048,0.7146019752630102,0.733571631894728,0.7161698389001873,1.0,0.7709672064683412,0.23533204798978846,0.3356378623379298,0.27293037342248655,0.22988544496122446,0.18481903582809694,0.18481903582809694,0.0,0.20001939259391593,0.0
