feature_a,feature_b,chi2_stat,df,p_value,significant_flag
customerID,gender,0.0,0,1.0,False
customerID,Partner,0.0,0,1.0,False
customerID,Dependents,0.0,0,1.0,False
customerID,PhoneService,0.0,0,1.0,False
customerID,MultipleLines,0.0,0,1.0,False
customerID,InternetService,0.0,0,1.0,False
customerID,OnlineSecurity,0.0,0,1.0,False
customerID,OnlineBackup,0.0,0,1.0,False
customerID,DeviceProtection,0.0,0,1.0,False
customerID,TechSupport,0.0,0,1.0,False
customerID,StreamingTV,0.0,0,1.0,False
customerID,StreamingMovies,0.0,0,1.0,False
customerID,Contract,0.0,0,1.0,False
customerID,PaperlessBilling,0.0,0,1.0,False
customerID,PaymentMethod,0.0,0,1.0,False
customerID,Churn,0.0,0,1.0,False
customerID,SeniorCitizen_flag_text,0.0,0,1.0,False
customerID,Senior_flag,0.0,0,1.0,False
customerID,pseudo_start,0.0,0,1.0,False
customerID,tenure_months_bucket,0.0,0,1.0,False
customerID,_logic_repair_applied,0.0,0,1.0,False
gender,Partner,0.016356470128040018,1,0.8982341127357725,False
gender,Dependents,0.7337079948513788,1,0.39168391711610406,False
gender,PhoneService,0.2541852775962665,1,0.6141433912690947,False
gender,MultipleLines,0.6291793687543705,2,0.7300883794871589,False
gender,InternetService,0.9024775877890381,2,0.6368387508139732,False
gender,OnlineSecurity,2.0413861525694514,2,0.3603451069583911,False
gender,OnlineBackup,1.3409496349198287,2,0.5114656672930569,False
gender,DeviceProtection,0.2560256294083035,2,0.8798421041561362,False
gender,TechSupport,0.6657182649272054,2,0.7168711709191198,False
gender,StreamingTV,0.5509185216409054,2,0.759223361600868,False
gender,StreamingMovies,0.7974498510688455,2,0.6711752991499342,False
gender,Contract,0.46810729959773456,2,0.7913193606321981,False
gender,PaperlessBilling,0.9257356216945363,1,0.3359734782280932,False
gender,PaymentMethod,2.448621424182906,3,0.4846479370447203,False
gender,Churn,0.4840828822091383,1,0.48657873605618596,False
gender,SeniorCitizen_flag_text,0.015604244282376655,1,0.9005892996849594,False
gender,Senior_flag,0.015604244282376655,1,0.9005892996849594,False
gender,pseudo_start,0.0,0,1.0,False
gender,tenure_months_bucket,3.633227441664951,4,0.4579119484489066,False
gender,_logic_repair_applied,0.0,0,1.0,False
Partner,Dependents,1441.2452212367994,1,0.0,True
Partner,PhoneService,2.08972843139833,1,0.14829242887243171,False
Partner,MultipleLines,145.83618784938776,2,2.1481973554251747e-32,True
Partner,InternetService,0.0057984164766698276,2,0.9971049904073069,False
Partner,OnlineSecurity,162.74248608037738,2,4.5805556310775415e-36,True
Partner,OnlineBackup,165.59635591634802,2,1.0995328300196767e-36,True
Partner,DeviceProtection,195.40793551503089,2,3.695778569845102e-43,True
Partner,TechSupport,114.74714818245721,2,1.21052389093801e-25,True
Partner,StreamingTV,132.8521445760224,2,1.4175009244886396e-29,True
Partner,StreamingMovies,118.2477100096091,2,2.1029842618800163e-26,True
Partner,Contract,617.2440921596583,2,9.271465654549676e-135,True
Partner,PaperlessBilling,1.4987222611381035,1,0.22086806761772138,False
Partner,PaymentMethod,186.58005316960464,3,3.3445533875870503e-40,True
Partner,Churn,158.7333820309922,1,2.1399113440759935e-36,True
Partner,SeniorCitizen_flag_text,1.8240787010909085,1,0.17682854387458363,False
Partner,Senior_flag,1.8240787010909085,1,0.17682854387458363,False
Partner,pseudo_start,0.0,0,1.0,False
Partner,tenure_months_bucket,961.8976047157478,4,6.450449260211219e-207,True
Partner,_logic_repair_applied,0.0,0,1.0,False
