feature_1,feature_2,base_correlation_strength,interaction_strength,n_nonempty_cells,note
TotalCharges,expected_total_senior,0.9996161973730436,0.09933573634620937,13,Interaction strength based on variance of target_rate across 5x5 bins.
MonthlyCharges,expected_total_senior,0.628179532134326,0.07562605977019969,24,Interaction strength based on variance of target_rate across 5x5 bins.
MonthlyCharges,expected_total_from_tenure_monthly,0.6509236948534182,0.07173338595480963,22,Interaction strength based on variance of target_rate across 5x5 bins.
MonthlyCharges,expected_total_from_payment_profile,0.6509236948534182,0.07173338595480963,22,Interaction strength based on variance of target_rate across 5x5 bins.
MonthlyCharges,TotalCharges,0.6502901064850621,0.07163293006321218,22,Interaction strength based on variance of target_rate across 5x5 bins.
TotalCharges,total_charges_per_month,0.634820335903575,0.07081882363214333,22,Interaction strength based on variance of target_rate across 5x5 bins.
expected_total_senior,total_charges_per_month,0.6186843006991974,0.06522880563682297,24,Interaction strength based on variance of target_rate across 5x5 bins.
expected_total_from_payment_profile,total_charges_per_month,0.626606371280399,0.06359148719179361,22,Interaction strength based on variance of target_rate across 5x5 bins.
expected_total_from_tenure_monthly,total_charges_per_month,0.626606371280399,0.06359148719179361,22,Interaction strength based on variance of target_rate across 5x5 bins.
tenure,MonthlyCharges,0.27634951467339053,0.05925476518918674,25,Interaction strength based on variance of target_rate across 5x5 bins.
tenure,total_charges_per_month,0.26617835839384396,0.055470136697834425,25,Interaction strength based on variance of target_rate across 5x5 bins.
tenure,expected_total_senior,0.9275190083993357,0.04754275586485874,16,Interaction strength based on variance of target_rate across 5x5 bins.
expected_min_total_from_contract,expected_total_senior,0.6793087339990745,0.04421595933105756,9,Interaction strength based on variance of target_rate across 5x5 bins.
expected_min_total_from_contract,total_charges_per_month,0.2062737979939504,0.038655110215481285,12,Interaction strength based on variance of target_rate across 5x5 bins.
MonthlyCharges,expected_min_total_from_contract,0.385128538513053,0.03855705747242916,11,Interaction strength based on variance of target_rate across 5x5 bins.
tenure,TotalCharges,0.8873795923254663,0.036568050280903874,17,Interaction strength based on variance of target_rate across 5x5 bins.
