run_id,integrity_index,numeric_score,categorical_score,logic_score,contract_status,contract_penalty,timestamp_utc
sec2_20251205T001812Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 00:18:12.254407+00:00
sec2_20251205T001841Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 00:18:41.458872+00:00
sec2_20251205T001914Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 00:19:14.224440+00:00
sec2_20251205T002546Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 00:25:46.762491+00:00
sec2_20251205T005324Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 00:53:24.217297+00:00
sec2_20251205T005417Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 00:54:17.444015+00:00
sec2_20251205T140351Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 14:03:51.229999+00:00
sec2_20251205T154541Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 15:45:41.434893+00:00
sec2_20251205T160914Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 16:09:14.040197+00:00
sec2_20251205T161611Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 16:16:11.212169+00:00
sec2_20251205T164242Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 16:42:42.436335+00:00
sec2_20251205T174445Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 17:44:45.076931+00:00
sec2_20251205T181443Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 18:14:43.304179+00:00
sec2_20251205T183607Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 18:36:07.617222+00:00
sec2_20251205T184138Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 18:41:38.124614+00:00
sec2_20251205T190132Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 19:01:32.561190+00:00
sec2_20251205T190719Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 19:07:19.177716+00:00
sec2_20251205T191223Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 19:12:23.532931+00:00
sec2_20251205T191818Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 19:18:18.182861+00:00
sec2_20251205T192122Z,90.0,100.0,100.0,100.0,,0.0,2025-12-05 19:21:22.280017+00:00
sec2_20251206T172651Z,90.0,100.0,100.0,100.0,,0.0,2025-12-06 17:26:51.777315+00:00
sec2_20251206T234316Z,90.0,100.0,100.0,100.0,,0.0,2025-12-06 23:43:16.429371+00:00
sec2_20251206T234509Z,90.0,100.0,100.0,100.0,,0.0,2025-12-06 23:45:09.696749+00:00
sec2_20251207T193939Z,90.0,100.0,100.0,100.0,,0.0,2025-12-07 19:39:39.981906+00:00
sec2_20251208T193614Z,90.0,100.0,100.0,100.0,,0.0,2025-12-08 19:36:14.410273+00:00
sec2_20251208T220319Z,90.0,100.0,100.0,100.0,,0.0,2025-12-08 22:03:19.477087+00:00
sec2_20251209T203722Z,90.0,100.0,100.0,100.0,,0.0,2025-12-09 20:37:22.932251+00:00
sec2_20251210T020548Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 02:05:48.810883+00:00
sec2_20251210T021027Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 02:10:27.742757+00:00
sec2_20251210T021238Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 02:12:38.819156+00:00
sec2_20251210T030544Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 03:05:44.601812+00:00
sec2_20251210T032146Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 03:21:46.542312+00:00
sec2_20251210T040653Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 04:06:53.213115+00:00
sec2_20251210T210508Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 21:05:08.184616+00:00
sec2_20251210T215900Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 21:59:00.839951+00:00
sec2_20251210T232101Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 23:21:01.443141+00:00
sec2_20251210T235922Z,90.0,100.0,100.0,100.0,,0.0,2025-12-10 23:59:22.685066+00:00
sec2_20251211T002714Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 00:27:14.985186+00:00
sec2_20251211T203024Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 20:30:24.024375+00:00
sec2_20251211T203431Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 20:34:31.508354+00:00
sec2_20251211T203847Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 20:38:47.355944+00:00
sec2_20251211T204830Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 20:48:30.285493+00:00
sec2_20251211T222451Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 22:24:51.270097+00:00
sec2_20251211T223138Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 22:31:38.652755+00:00
sec2_20251211T225632Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 22:56:32.226652+00:00
sec2_20251211T234640Z,90.0,100.0,100.0,100.0,,0.0,2025-12-11 23:46:40.240286+00:00
sec2_20251212T000207Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 00:02:07.988216+00:00
sec2_20251212T002505Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 00:25:05.920696+00:00
sec2_20251212T002903Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 00:29:03.781499+00:00
sec2_20251212T015250Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 01:52:50.297845+00:00
sec2_20251212T020819Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 02:08:19.711753+00:00
sec2_20251212T020852Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 02:08:52.571233+00:00
sec2_20251212T035726Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 03:57:26.961978+00:00
sec2_20251212T035957Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 03:59:57.096171+00:00
sec2_20251212T040340Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:03:40.262569+00:00
sec2_20251212T040658Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:06:58.650505+00:00
sec2_20251212T040754Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:07:54.657020+00:00
sec2_20251212T042407Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:24:07.367002+00:00
sec2_20251212T043943Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:39:43.938751+00:00
sec2_20251212T044105Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:41:05.923377+00:00
sec2_20251212T044145Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:41:45.587864+00:00
sec2_20251212T044429Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:44:29.951981+00:00
sec2_20251212T044638Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:46:38.381642+00:00
sec2_20251212T044751Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:47:51.052262+00:00
sec2_20251212T045005Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:50:05.911537+00:00
sec2_20251212T045421Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:54:21.039000+00:00
sec2_20251212T045902Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 04:59:02.216796+00:00
sec2_20251212T050826Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 05:08:26.707635+00:00
sec2_20251212T052059Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 05:20:59.522723+00:00
sec2_20251212T053156Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 05:31:56.769099+00:00
sec2_20251212T053550Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 05:35:50.133744+00:00
sec2_20251212T060041Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 06:00:41.443751+00:00
sec2_20251212T183305Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 18:33:05.204204+00:00
sec2_20251212T193235Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 19:32:35.049760+00:00
sec2_20251212T205326Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 20:53:26.142827+00:00
sec2_20251212T211819Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 21:18:19.023987+00:00
sec2_20251212T220156Z,90.0,100.0,100.0,100.0,,0.0,2025-12-12 22:01:56.852532+00:00
sec2_20251213T010446Z,90.0,100.0,100.0,100.0,,0.0,2025-12-13 01:04:46.778378+00:00
sec2_20251213T011322Z,90.0,100.0,100.0,100.0,,0.0,2025-12-13 01:13:22.786585+00:00
sec2_20251213T014126Z,90.0,100.0,100.0,100.0,,0.0,2025-12-13 01:41:26.249803+00:00
