column,dtype,empty_strings,examples,kurtosis,max,mean,median,min,n_levels,n_rows,n_violations,nulls,pct_blank,pct_missing,q1,q3,rule,run_ts,section,skew,std,threshold,total_issues,value,whitespace_only,convertible_pct,non_convertible_count,infinite_count,mixed_python_types,suggested_fix,convertible_pct_raw,convertible_pct_stripped,likely_numeric_text,non_convertible_count_after_strip,examples_after_strip
,,,,,,,,,,,,,,,,,missing_cols,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,unexpected_cols,,0.1_schema_check,,,,,Churn;SeniorCitizen;customerID,,,,,,,,,,,
,,,,,,,,,,,,,,,,,binary_not_two,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,class_balance,,0.1_schema_check,,,,,"{0: 5174, 1: 1869} | churn_rate=0.2654",,,,,,,,,,,
,,,,,,,,,,,,,,,,,missing_cols,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,unexpected_cols,,0.1_schema_check,,,,,Churn;SeniorCitizen;customerID,,,,,,,,,,,
,,,,,,,,,,,,,,,,,binary_not_two,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,class_balance,,0.1_schema_check,,,,,"{0: 5174, 1: 1869} | churn_rate=0.2654",,,,,,,,,,,
,,,,,,,,,,,,,,,,,status,,0.1_schema_check,,,,,WARN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,schema_version,,0.1_schema_check,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,missing_cols,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,unexpected_cols,,0.1_schema_check,,,,,Churn;SeniorCitizen;customerID,,,,,,,,,,,
,,,,,,,,,,,,,,,,,binary_not_two,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,class_balance,,0.1_schema_check,,,,,"{0: 5174, 1: 1869} | churn_rate=0.2654",,,,,,,,,,,
,,,,,,,,,,,,,,,,,status,,0.1_schema_check,,,,,WARN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,schema_version,,0.1_schema_check,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,missing_cols,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,unexpected_cols,,0.1_schema_check,,,,,Churn;SeniorCitizen;customerID,,,,,,,,,,,
,,,,,,,,,,,,,,,,,binary_not_two,,0.1_schema_check,,,,,none,,,,,,,,,,,
,,,,,,,,,,,,,,,,,class_balance,,0.1_schema_check,,,,,"{0: 5174, 1: 1869} | churn_rate=0.2654",,,,,,,,,,,
,,,,,,,,,,,,,,,,,status,,0.1_schema_check,,,,,WARN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,schema_version,,0.1_schema_check,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,missing_cols,,0.1_schema_check,,,,,none,,,,,,,,,,,
