_rule,MonthlyCharges,tenure,TotalCharges,customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PhoneService,MultipleLines
total_vs_monthly_times_tenure,56.95,34.0,1889.5,5575-GNVDE,,,,,,,,,
total_vs_monthly_times_tenure,42.3,45.0,1840.75,7795-CFOCW,,,,,,,,,
total_vs_monthly_times_tenure,70.7,2.0,151.65,9237-HQITU,,,,,,,,,
total_vs_monthly_times_tenure,99.65,8.0,820.5,9305-CDSKC,,,,,,,,,
total_vs_monthly_times_tenure,104.8,28.0,3046.05,7892-POOKP,,,,,,,,,
total_vs_monthly_times_tenure,49.95,13.0,587.45,9763-GRSKD,,,,,,,,,
total_vs_monthly_times_tenure,18.95,16.0,326.8,7469-LKBCI,,,,,,,,,
total_vs_monthly_times_tenure,100.35,58.0,5681.1,8091-TTVAX,,,,,,,,,
total_vs_monthly_times_tenure,20.65,52.0,1022.95,8191-XWSZG,,,,,,,,,
total_vs_monthly_times_tenure,106.7,71.0,7382.25,9959-WOFKT,,,,,,,,,
total_vs_monthly_times_tenure,55.2,10.0,528.35,4190-MFLUW,,,,,,,,,
total_vs_monthly_times_tenure,19.8,12.0,202.25,1680-VDCWW,,,,,,,,,
total_vs_monthly_times_tenure,55.3,30.0,1530.6,6865-JZNKO,,,,,,,,,
total_vs_monthly_times_tenure,95.5,2.0,181.65,4929-XIHVW,,,,,,,,,
total_vs_monthly_times_tenure,66.15,27.0,1874.45,6827-IEAUQ,,,,,,,,,
total_vs_monthly_times_tenure,69.7,5.0,316.9,6047-YHPVI,,,,,,,,,
total_vs_monthly_times_tenure,74.8,46.0,3548.3,6572-ADKRS,,,,,,,,,
total_vs_monthly_times_tenure,97.85,11.0,1105.4,8168-UQWWF,,,,,,,,,
total_vs_monthly_times_tenure,49.55,10.0,475.7,8865-TNMNX,,,,,,,,,
total_vs_monthly_times_tenure,20.75,17.0,418.25,9867-JCZSP,,,,,,,,,
total_vs_monthly_times_tenure,79.85,63.0,4861.45,4671-VJLCL,,,,,,,,,
total_vs_monthly_times_tenure,84.5,49.0,3906.7,3714-NTNFO,,,,,,,,,
total_vs_monthly_times_tenure,80.65,2.0,144.15,7760-OYPDY,,,,,,,,,
total_vs_monthly_times_tenure,64.15,69.0,4254.1,2954-PIBKO,,,,,,,,,
total_vs_monthly_times_tenure,99.1,15.0,1426.4,9420-LOJKX,,,,,,,,,
total_vs_monthly_times_tenure,24.95,34.0,894.3,3957-SQXML,,,,,,,,,
total_vs_monthly_times_tenure,42.1,72.0,2962.0,0526-SXDJP,,,,,,,,,
total_vs_monthly_times_tenure,75.3,3.0,244.1,5122-CYFXA,,,,,,,,,
total_vs_monthly_times_tenure,20.15,50.0,930.9,3170-NMYVV,,,,,,,,,
total_vs_monthly_times_tenure,79.85,10.0,887.35,7410-OIEDU,,,,,,,,,
total_vs_monthly_times_tenure,20.4,52.0,1090.65,0731-EBJQB,,,,,,,,,
total_vs_monthly_times_tenure,24.25,62.0,1424.6,8028-PNXHQ,,,,,,,,,
total_vs_monthly_times_tenure,64.5,3.0,177.4,5630-AHZIL,,,,,,,,,
total_vs_monthly_times_tenure,55.65,46.0,2688.85,6416-JNVRK,,,,,,,,,
total_vs_monthly_times_tenure,54.65,8.0,482.25,5590-ZSKRV,,,,,,,,,
