column,nulls,empty_strings,whitespace_only,total_issues,pct_missing,pct_blank,section,rule,run_ts
TotalCharges,11,0,0,11,0.16,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
customerID,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
SeniorCitizen,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
Partner,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
Dependents,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
gender,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
tenure,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
PhoneService,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
InternetService,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
MultipleLines,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
OnlineBackup,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
DeviceProtection,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
TechSupport,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
OnlineSecurity,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
StreamingTV,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
StreamingMovies,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
PaperlessBilling,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
Contract,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
PaymentMethod,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
MonthlyCharges,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
Churn,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
Churn_flag,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-11-01T21:01:01
