blanks,column,convertible_pct,convertible_pct_raw,convertible_pct_stripped,dtype,empty_strings,examples,examples_after_strip,infinite_count,kurtosis,likely_numeric_text,max,mean,median,min,mixed_python_types,n_levels,n_not_allowed,n_rows,n_total,n_violations,non_convertible_count,non_convertible_count_after_strip,nulls,pct_blank,pct_missing,pct_not_allowed,q1,q3,rule,run_ts,section,skew,std,suggested_fix,threshold,top_count,top_freq,top_value,total_issues,unique_count,whitespace_only
,"MonthlyCharges,tenure,TotalCharges,customerID",,,,,,"[{'MonthlyCharges': 56.95, 'tenure': 34, 'TotalCharges': 1889.5, 'customerID': '5575-GNVDE'}, {'MonthlyCharges': 42.3, 'tenure': 45, 'TotalCharges': 1840.75, 'customerID': '7795-CFOCW'}, {'MonthlyCharges': 70.7, 'tenure': 2, 'TotalCharges': 151.65, 'customerID': '9237-HQITU'}, {'MonthlyCharges': 99.65, 'tenure': 8, 'TotalCharges': 820.5, 'customerID': '9305-CDSKC'}, {'MonthlyCharges': 104.8, 'tenure': 28, 'TotalCharges': 3046.05, 'customerID': '7892-POOKP'}]",,,,,,,,,,,,7043.0,,2961.0,,,,,,,,,total_vs_monthly_times_tenure,2025-11-01T22:33:53,2.4_crossfield_logic,,,,"{'tol_abs': 5.0, 'tol_rel': 0.02}",,,,,,
,"InternetService,OnlineSecurity,customerID",,,,,,"[{'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'customerID': '7469-LKBCI'}, {'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'customerID': '8191-XWSZG'}, {'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'customerID': '1680-VDCWW'}, {'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'customerID': '1066-JKSGK'}, {'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'customerID': '7310-EGVHZ'}]",,,,,,,,,,,,7043.0,,1526.0,,,,,,,,,addon_requires_internet__OnlineSecurity,2025-11-01T22:33:53,2.4_crossfield_logic,,,,,,,,,,
,"InternetService,OnlineBackup,customerID",,,,,,"[{'InternetService': 'No', 'OnlineBackup': 'No internet service', 'customerID': '7469-LKBCI'}, {'InternetService': 'No', 'OnlineBackup': 'No internet service', 'customerID': '8191-XWSZG'}, {'InternetService': 'No', 'OnlineBackup': 'No internet service', 'customerID': '1680-VDCWW'}, {'InternetService': 'No', 'OnlineBackup': 'No internet service', 'customerID': '1066-JKSGK'}, {'InternetService': 'No', 'OnlineBackup': 'No internet service', 'customerID': '7310-EGVHZ'}]",,,,,,,,,,,,7043.0,,1526.0,,,,,,,,,addon_requires_internet__OnlineBackup,2025-11-01T22:33:53,2.4_crossfield_logic,,,,,,,,,,
,"InternetService,DeviceProtection,customerID",,,,,,"[{'InternetService': 'No', 'DeviceProtection': 'No internet service', 'customerID': '7469-LKBCI'}, {'InternetService': 'No', 'DeviceProtection': 'No internet service', 'customerID': '8191-XWSZG'}, {'InternetService': 'No', 'DeviceProtection': 'No internet service', 'customerID': '1680-VDCWW'}, {'InternetService': 'No', 'DeviceProtection': 'No internet service', 'customerID': '1066-JKSGK'}, {'InternetService': 'No', 'DeviceProtection': 'No internet service', 'customerID': '7310-EGVHZ'}]",,,,,,,,,,,,7043.0,,1526.0,,,,,,,,,addon_requires_internet__DeviceProtection,2025-11-01T22:33:53,2.4_crossfield_logic,,,,,,,,,,
,"InternetService,TechSupport,customerID",,,,,,"[{'InternetService': 'No', 'TechSupport': 'No internet service', 'customerID': '7469-LKBCI'}, {'InternetService': 'No', 'TechSupport': 'No internet service', 'customerID': '8191-XWSZG'}, {'InternetService': 'No', 'TechSupport': 'No internet service', 'customerID': '1680-VDCWW'}, {'InternetService': 'No', 'TechSupport': 'No internet service', 'customerID': '1066-JKSGK'}, {'InternetService': 'No', 'TechSupport': 'No internet service', 'customerID': '7310-EGVHZ'}]",,,,,,,,,,,,7043.0,,1526.0,,,,,,,,,addon_requires_internet__TechSupport,2025-11-01T22:33:53,2.4_crossfield_logic,,,,,,,,,,
,"InternetService,StreamingTV,customerID",,,,,,"[{'InternetService': 'No', 'StreamingTV': 'No internet service', 'customerID': '7469-LKBCI'}, {'InternetService': 'No', 'StreamingTV': 'No internet service', 'customerID': '8191-XWSZG'}, {'InternetService': 'No', 'StreamingTV': 'No internet service', 'customerID': '1680-VDCWW'}, {'InternetService': 'No', 'StreamingTV': 'No internet service', 'customerID': '1066-JKSGK'}, {'InternetService': 'No', 'StreamingTV': 'No internet service', 'customerID': '7310-EGVHZ'}]",,,,,,,,,,,,7043.0,,1526.0,,,,,,,,,addon_requires_internet__StreamingTV,2025-11-01T22:33:53,2.4_crossfield_logic,,,,,,,,,,
,"InternetService,StreamingMovies,customerID",,,,,,"[{'InternetService': 'No', 'StreamingMovies': 'No internet service', 'customerID': '7469-LKBCI'}, {'InternetService': 'No', 'StreamingMovies': 'No internet service', 'customerID': '8191-XWSZG'}, {'InternetService': 'No', 'StreamingMovies': 'No internet service', 'customerID': '1680-VDCWW'}, {'InternetService': 'No', 'StreamingMovies': 'No internet service', 'customerID': '1066-JKSGK'}, {'InternetService': 'No', 'StreamingMovies': 'No internet service', 'customerID': '7310-EGVHZ'}]",,,,,,,,,,,,7043.0,,1526.0,,,,,,,,,addon_requires_internet__StreamingMovies,2025-11-01T22:33:53,2.4_crossfield_logic,,,,,,,,,,
,"PhoneService,MultipleLines,customerID",,,,,,"[{'PhoneService': 'No', 'MultipleLines': 'No phone service', 'customerID': '7590-VHVEG'}, {'PhoneService': 'No', 'MultipleLines': 'No phone service', 'customerID': '7795-CFOCW'}, {'PhoneService': 'No', 'MultipleLines': 'No phone service', 'customerID': '6713-OKOMC'}, {'PhoneService': 'No', 'MultipleLines': 'No phone service', 'customerID': '8779-QRDMV'}, {'PhoneService': 'No', 'MultipleLines': 'No phone service', 'customerID': '8665-UTDHZ'}]",,,,,,,,,,,,7043.0,,682.0,,,,,,,,,multiple_lines_requires_phone,2025-11-01T22:33:53,2.4_crossfield_logic,,,,,,,,,,
,SeniorCitizen,100.0,,,,,,,0.0,,,,,,,1.0,,,,,,0.0,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,,,
,tenure,100.0,,,,,,,0.0,,,,,,,1.0,,,,,,0.0,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,,,
