check,column,current_dtype,dtype,empty_strings,examples,has_suspect_tokens,has_unexpected_values,high_cardinality,is_binary,is_numeric,is_possible_numeric,kurtosis,max,mean,median,min,missing_pct,n_blank,n_levels,n_null,n_rows,n_suspect,n_total,n_unique,n_violations,nulls,pct_blank,pct_missing,pct_null,pct_suspect,pct_unique,q1,q3,rule,run_ts,section,skew,std,suggested_type,threshold,timestamp,total_issues,whitespace_only
,TotalCharges,,,0.0,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.16,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,11.0,0.0
,gender,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,customerID,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,Partner,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,Dependents,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,tenure,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,SeniorCitizen,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,PhoneService,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,MultipleLines,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,OnlineSecurity,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,InternetService,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,DeviceProtection,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,TechSupport,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,StreamingTV,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,OnlineBackup,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,StreamingMovies,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,Contract,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,PaymentMethod,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,PaperlessBilling,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,MonthlyCharges,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,Churn,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,Churn_flag,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
,Senior_flag,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,missing_null_blank,2025-11-07T20:04:09,2.1_missing_null_blank,,,,,,0.0,0.0
missingness_blank_suspect,TotalCharges,,float64,,,,,,,,,,,,,,,0.0,,11.0,,0.0,,,,,0.0,,0.0016,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,customerID,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,gender,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,SeniorCitizen,,category,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,Partner,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,Dependents,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,tenure,,int64,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,PhoneService,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,MultipleLines,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,InternetService,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,OnlineSecurity,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,OnlineBackup,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,DeviceProtection,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,TechSupport,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,StreamingTV,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,StreamingMovies,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,Contract,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,PaperlessBilling,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,PaymentMethod,,object,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,MonthlyCharges,,float64,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
missingness_blank_suspect,Churn,,category,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.2.5,,,,,2025-11-07 20:04:14.871703,,
