column,level,count,pct,cum_pct,rank_in_column,is_null_level
gender,Male,3555,50.4756,50.4756,1,False
gender,Female,3488,49.5244,100.0,2,False
Partner,No,3641,51.6967,51.6967,1,False
Partner,Yes,3402,48.3033,100.0,2,False
Dependents,No,4933,70.0412,70.0412,1,False
Dependents,Yes,2110,29.9588,100.0,2,False
PhoneService,Yes,6361,90.3166,90.3166,1,False
PhoneService,No,682,9.6834,100.0,2,False
MultipleLines,No,3390,48.1329,48.1329,1,False
MultipleLines,Yes,2971,42.1837,90.3166,2,False
MultipleLines,No phone service,682,9.6834,100.0,3,False
InternetService,Fiber optic,3096,43.9585,43.9585,1,False
InternetService,DSL,2421,34.3746,78.3331,2,False
InternetService,No,1526,21.6669,100.0,3,False
OnlineSecurity,No,3498,49.6663,49.6663,1,False
OnlineSecurity,Yes,2019,28.6668,78.3331,2,False
OnlineSecurity,No internet service,1526,21.6669,100.0,3,False
OnlineBackup,No,3088,43.845,43.845,1,False
OnlineBackup,Yes,2429,34.4881,78.3331,2,False
OnlineBackup,No internet service,1526,21.6669,100.0,3,False
DeviceProtection,No,3095,43.9443,43.9443,1,False
DeviceProtection,Yes,2422,34.3888,78.3331,2,False
DeviceProtection,No internet service,1526,21.6669,100.0,3,False
TechSupport,No,3473,49.3114,49.3114,1,False
TechSupport,Yes,2044,29.0217,78.3331,2,False
TechSupport,No internet service,1526,21.6669,100.0,3,False
StreamingTV,No,2810,39.8978,39.8978,1,False
StreamingTV,Yes,2707,38.4353,78.3331,2,False
StreamingTV,No internet service,1526,21.6669,100.0,3,False
StreamingMovies,No,2785,39.5428,39.5428,1,False
StreamingMovies,Yes,2732,38.7903,78.3331,2,False
StreamingMovies,No internet service,1526,21.6669,100.0,3,False
Contract,Month-to-month,3875,55.0192,55.0192,1,False
Contract,Two year,1695,24.0664,79.0856,2,False
Contract,One year,1473,20.9144,100.0,3,False
PaperlessBilling,Yes,4171,59.2219,59.2219,1,False
PaperlessBilling,No,2872,40.7781,100.0,2,False
PaymentMethod,Electronic check,2365,33.5794,33.5794,1,False
PaymentMethod,Mailed check,1612,22.888,56.4674,2,False
PaymentMethod,Bank transfer (automatic),1544,21.9225,78.3899,3,False
PaymentMethod,Credit card (automatic),1522,21.6101,100.0,4,False
Churn,No,5174,73.463,73.463,1,False
Churn,Yes,1869,26.537,100.0,2,False
