column,dtype,n_unique,is_high_card,pct_unique
PaymentMethod,object,4,False,0.057
Contract,object,3,False,0.043
MultipleLines,object,3,False,0.043
DeviceProtection,object,3,False,0.043
OnlineBackup,object,3,False,0.043
OnlineSecurity,object,3,False,0.043
TechSupport,object,3,False,0.043
InternetService,object,3,False,0.043
StreamingTV,object,3,False,0.043
StreamingMovies,object,3,False,0.043
Churn,category,2,False,0.028
Dependents,object,2,False,0.028
PhoneService,object,2,False,0.028
Partner,object,2,False,0.028
PaperlessBilling,object,2,False,0.028
gender,object,2,False,0.028
