,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
gender,1.0,0.0018080796617890131,0.010516611922734113,0.006487672136208226,0.00945166657045301,0.011319816023820935,0.017024867399695203,0.01379835737774556,0.006029244238431042,0.009722241217455387,0.008844328042668067,0.010640764864840484,0.008152557349604872,0.011753691221222246,0.018645841077588498,0.008612095078997826
Partner,0.0018080796617890131,1.0,0.4526762829294639,0.017705663223972004,0.1438976851133203,0.0009073521208289377,0.15200981443032938,0.15333685221744686,0.16656826190673804,0.12764156082912623,0.1373426556145604,0.12957389839577674,0.2960394759374369,0.014876622287891017,0.16276227893705197,0.15044754495917653
Dependents,0.010516611922734113,0.4526762829294639,1.0,0.0017616785446837096,0.025094016713979598,0.18026724788255377,0.19457924376849997,0.16276014139235462,0.15757010710298983,0.18237744041561058,0.14708243957321443,0.1413353739608838,0.24421223608441336,0.11137722919364426,0.15074411049283012,0.16422140157972526
PhoneService,0.006487672136208226,0.017705663223972004,0.0017616785446837096,1.0,0.9999999999999999,0.4524254899613093,0.1762723605675485,0.1728180227250205,0.17231743005277741,0.17697659510424157,0.18043448482833935,0.17752032784170305,0.003976117347714688,0.016504805732569666,0.010297221766590071,0.011941980029003072
MultipleLines,0.00945166657045301,0.1438976851133203,0.025094016713979598,0.9999999999999999,1.0,0.3967257478475792,0.2296082852243332,0.2451625133577186,0.24634229842709157,0.2301620412310231,0.26179145274171745,0.2623563766827923,0.08040766226914968,0.16634063233977742,0.1669298080382473,0.04010925283378871
InternetService,0.011319816023820935,0.0009073521208289377,0.18026724788255377,0.4524254899613093,0.3967257478475792,1.0,0.7244663512387673,0.7071840538053834,0.7071076787208628,0.7229044786509223,0.7170990155772046,0.7160076798944879,0.2069209140289707,0.3784273654205174,0.3131230023778106,0.32245455521230887
OnlineSecurity,0.017024867399695203,0.15200981443032938,0.19457924376849997,0.1762723605675485,0.2296082852243332,0.7244663512387673,1.0,0.71843440495081,0.7172914967880095,0.7330711886624743,0.7077883928176425,0.70820843311728,0.30134873250567035,0.3417997554251128,0.3049587460138044,0.3474004326740552
OnlineBackup,0.01379835737774556,0.15333685221744686,0.16276014139235462,0.1728180227250205,0.2451625133577186,0.7071840538053834,0.71843440495081,1.0,0.7191252573931048,0.7198343476353798,0.7146992106850566,0.713681781452499,0.2585717875284732,0.3210458207980537,0.28251664070616206,0.2923155121954445
DeviceProtection,0.006029244238431042,0.16656826190673804,0.15757010710298983,0.17231743005277741,0.24634229842709157,0.7071076787208628,0.7172914967880095,0.7191252573931048,1.0,0.7264853065275643,0.7336610359551202,0.7360474814569772,0.29697649313511804,0.3216312457665022,0.28702116041733605,0.281579732968073
TechSupport,0.009722241217455387,0.12764156082912623,0.18237744041561058,0.17697659510424157,0.2301620412310231,0.7229044786509223,0.7330711886624743,0.7198343476353798,0.7264853065275643,1.0,0.7162664167382016,0.7163266056091843,0.3310209176488737,0.3295243087543918,0.30688837112191486,0.3429161982469257
StreamingTV,0.008844328042668067,0.1373426556145604,0.14708243957321443,0.18043448482833935,0.26179145274171745,0.7170990155772046,0.7077883928176425,0.7146992106850566,0.7336610359551202,0.7162664167382016,1.0,0.7710419124234426,0.23590136543928766,0.3360606862742847,0.2736710577877493,0.2305023384466809
StreamingMovies,0.010640764864840484,0.12957389839577674,0.1413353739608838,0.17752032784170305,0.2623563766827923,0.7160076798944879,0.70820843311728,0.713681781452499,0.7360474814569772,0.7163266056091843,0.7710419124234426,1.0,0.238639856353762,0.3321109249335916,0.27465873933463103,0.23095080906926801
Contract,0.008152557349604872,0.2960394759374369,0.24421223608441336,0.003976117347714688,0.08040766226914968,0.2069209140289707,0.30134873250567035,0.2585717875284732,0.29697649313511804,0.3310209176488737,0.23590136543928766,0.238639856353762,1.0,0.17764521997131164,0.26665474765414915,0.4101156965761409
PaperlessBilling,0.011753691221222246,0.014876622287891017,0.11137722919364426,0.016504805732569666,0.16634063233977742,0.3784273654205174,0.3417997554251128,0.3210458207980537,0.3216312457665022,0.3295243087543918,0.3360606862742847,0.3321109249335916,0.17764521997131164,1.0,0.2487185726719847,0.1918253316664679
PaymentMethod,0.018645841077588498,0.16276227893705197,0.15074411049283012,0.010297221766590071,0.1669298080382473,0.3131230023778106,0.3049587460138044,0.28251664070616206,0.28702116041733605,0.30688837112191486,0.2736710577877493,0.27465873933463103,0.26665474765414915,0.2487185726719847,1.0,0.30335862555407056
Churn,0.008612095078997826,0.15044754495917653,0.16422140157972526,0.011941980029003072,0.04010925283378871,0.32245455521230887,0.3474004326740552,0.2923155121954445,0.281579732968073,0.3429161982469257,0.2305023384466809,0.23095080906926801,0.4101156965761409,0.1918253316664679,0.30335862555407056,1.0
