,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
gender,1.0,2.3583481446129737e-06,7.979286930513651e-05,3.0368624420998843e-05,6.444919012381747e-05,9.243886016821569e-05,0.00020909124451823575,0.00013734820541705018,2.6225816785681862e-05,6.818721704909136e-05,5.6429580716924375e-05,8.168044880073685e-05,4.795171586013144e-05,9.966553792194755e-05,0.0002508276755031885,5.350282941972874e-05
Partner,2.3601550601941246e-06,1.0,0.1571051350550267,0.0002266717103071727,0.014995497220360521,5.943737844332566e-07,0.01675436583781571,0.01704964262126348,0.020136756123050947,0.011794519533321371,0.013672071668187648,0.012164426815905193,0.06452215031566484,0.00015976352865048048,0.019208695636305922,0.016537874560883833
Dependents,9.058678360867489e-05,0.17822085308968322,1.0,2.538174329583548e-06,0.0005166050969973993,0.026673963381216356,0.03112080937309179,0.02141664481557832,0.019960496923002797,0.027186775167409243,0.01717025042276741,0.015710414007293765,0.04829656237611617,0.010075607150941714,0.01939555507302943,0.02369681451389209
PhoneService,6.617590028739354e-05,0.0004935594137060052,4.871867045457655e-06,1.0,1.0,0.35745196302627175,0.08052001881895715,0.07901627808116356,0.07879618954627986,0.08083025657984252,0.08244717170677514,0.08111230502573073,2.4889464801834342e-05,0.00042599396925093483,0.0001666156663896908,0.00022686687827700873
MultipleLines,4.741338030960514e-05,0.011023302003146987,0.0003347660316496376,0.3376048811070547,1.0,0.1761712405902899,0.06599345115672148,0.07411128359428479,0.0749473400850681,0.06625718800742549,0.08272171312356416,0.08327717088324157,0.0068536264961651565,0.014846243485475889,0.031003766016022526,0.0008504777978588937
InternetService,6.045748400590102e-05,3.884387200191761e-07,0.0153667590323658,0.10728485944349683,0.15661993727879264,1.0,0.5115804069647244,0.49327424254029106,0.49319442028459676,0.509902098256503,0.5037719331120943,0.5026013976780139,0.04036240225031522,0.06926771400294043,0.09777925843826195,0.05244106217492044
OnlineSecurity,0.0001397334978472708,0.011188195783210945,0.018319550313005622,0.024694134707336845,0.05994901734037065,0.5227368278984835,1.0,0.5161358138564807,0.5148922924353124,0.5319594604530273,0.5046774177227854,0.5051271277762455,0.09188625625641535,0.05666977173152945,0.09013442642162157,0.06236189990622251
OnlineBackup,8.980600614838164e-05,0.011139483486570345,0.012334827213719198,0.023709599877629137,0.06586933423854541,0.49314580597914215,0.5049887529524367,1.0,0.5057662319437833,0.5064834844812739,0.5010693876695302,0.4999898037758022,0.06537722846517563,0.04839544048940914,0.0774020700852783,0.04414280094029382
DeviceProtection,1.715182048345673e-05,0.013159460667540986,0.011498780695816582,0.02364893992728866,0.06662756919149979,0.49317819448209876,0.5038867140338426,0.5058813116701104,1.0,0.5137505173117378,0.52182617290035,0.5245065486839924,0.08854041145067329,0.04860164607298793,0.08013077166131413,0.041439629034250906
TechSupport,4.54847667449398e-05,0.007861594521917951,0.015974230408317674,0.024743562360110338,0.06007759674732821,0.5200610365804069,0.530978406686388,0.5167088510587866,0.5240033682856806,1.0,0.51289348348918,0.5129644561186253,0.11322806714283448,0.05226790265599472,0.09098853271540391,0.06065288116902781
StreamingTV,3.67075906242415e-05,0.008886909608677046,0.00983841024777045,0.02461217988056425,0.0731450803389808,0.5010574641369422,0.4912451158766779,0.49849927782406134,0.5190314982830029,0.5001649234042133,1.0,0.5623841367162747,0.053812981664619695,0.05326997968395847,0.07538438001425012,0.02994685312203642
StreamingMovies,5.312834158865333e-05,0.007906188678638989,0.00900108818599398,0.02421141375753021,0.07362929668737796,0.49984614637964786,0.4916365405223774,0.4973783743623176,0.5216483756853046,0.5001870130752223,0.5623311606210056,1.0,0.05517217952230927,0.051888774633255995,0.07599834399999801,0.030031283990155096
Contract,3.327607955243344e-05,0.044740848344438686,0.029521842854375036,7.926269268603586e-06,0.0064649471616213,0.04282619794596677,0.09541438953783049,0.06938604185542752,0.09394817278639583,0.1177928933077054,0.05740715195785989,0.05886267548468436,1.0,0.0157681062274661,0.07665794894558431,0.09857347854350781
PaperlessBilling,0.00010218080496897237,0.00016367009293091024,0.009099023215064481,0.00020042551935611476,0.020689854123120337,0.1085824587837928,0.0869382882200525,0.07588332603128271,0.07618931753117708,0.08033344139422229,0.08395716774924887,0.08178799753692965,0.02329570402674902,1.0,0.04640452184388155,0.028392375398459537
PaymentMethod,0.00012710953623810712,0.00972675408956424,0.008657731964034262,3.8747508069465934e-05,0.021356676858160138,0.07576243633079299,0.06834845425451938,0.05998917136929895,0.062089877942834146,0.06912359807192107,0.058726618116704925,0.05921049144271948,0.0559798685294836,0.02293710898929323,1.0,0.032549756170640265
Churn,6.409086889691693e-05,0.01979550035903563,0.025003949982593796,0.0001247141603447703,0.001384837883537499,0.09604956480622742,0.11178256340220202,0.08087176149409053,0.07590214846583043,0.10892005186979241,0.055146956104604516,0.055307644989832275,0.1701576545673015,0.03317392311316208,0.07694217675420226,1.0
