col_x,col_y,cramers_v,theils_u_x_given_y,theils_u_y_given_x
gender,Partner,0.0018080796617890131,2.3583481446129737e-06,2.3601550601941246e-06
gender,Dependents,0.010516611922734113,7.979286930513651e-05,9.058678360867489e-05
gender,PhoneService,0.006487672136208226,3.0368624420998843e-05,6.617590028739354e-05
gender,MultipleLines,0.00945166657045301,6.444919012381747e-05,4.741338030960514e-05
gender,InternetService,0.011319816023820935,9.243886016821569e-05,6.045748400590102e-05
gender,OnlineSecurity,0.017024867399695203,0.00020909124451823575,0.0001397334978472708
gender,OnlineBackup,0.01379835737774556,0.00013734820541705018,8.980600614838164e-05
gender,DeviceProtection,0.006029244238431042,2.6225816785681862e-05,1.715182048345673e-05
gender,TechSupport,0.009722241217455387,6.818721704909136e-05,4.54847667449398e-05
gender,StreamingTV,0.008844328042668067,5.6429580716924375e-05,3.67075906242415e-05
gender,StreamingMovies,0.010640764864840484,8.168044880073685e-05,5.312834158865333e-05
gender,Contract,0.008152557349604872,4.795171586013144e-05,3.327607955243344e-05
gender,PaperlessBilling,0.011753691221222246,9.966553792194755e-05,0.00010218080496897237
gender,PaymentMethod,0.018645841077588498,0.0002508276755031885,0.00012710953623810712
gender,Churn,0.008612095078997826,5.350282941972874e-05,6.409086889691693e-05
Partner,Dependents,0.4526762829294639,0.1571051350550267,0.17822085308968322
Partner,PhoneService,0.017705663223972004,0.0002266717103071727,0.0004935594137060052
Partner,MultipleLines,0.1438976851133203,0.014995497220360521,0.011023302003146987
Partner,InternetService,0.0009073521208289377,5.943737844332566e-07,3.884387200191761e-07
Partner,OnlineSecurity,0.15200981443032938,0.01675436583781571,0.011188195783210945
Partner,OnlineBackup,0.15333685221744686,0.01704964262126348,0.011139483486570345
Partner,DeviceProtection,0.16656826190673804,0.020136756123050947,0.013159460667540986
Partner,TechSupport,0.12764156082912623,0.011794519533321371,0.007861594521917951
Partner,StreamingTV,0.1373426556145604,0.013672071668187648,0.008886909608677046
Partner,StreamingMovies,0.12957389839577674,0.012164426815905193,0.007906188678638989
Partner,Contract,0.2960394759374369,0.06452215031566484,0.044740848344438686
Partner,PaperlessBilling,0.014876622287891017,0.00015976352865048048,0.00016367009293091024
Partner,PaymentMethod,0.16276227893705197,0.019208695636305922,0.00972675408956424
Partner,Churn,0.15044754495917653,0.016537874560883833,0.01979550035903563
Dependents,PhoneService,0.0017616785446837096,2.538174329583548e-06,4.871867045457655e-06
