check,dataset_version_id,detail,encoded_target,feature_groups_csv,feature_groups_json,feature_groups_yaml,feature_space_json,feature_space_yaml,full_row_dupes,git_hash,group_counts_json,has_full_dupes,imbalance_ratio,level,max_cardinality,max_null_pct,max_null_pct_col,n_actual,n_binary_numeric,n_boolean,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_columns_coerced_ok,n_constant_cols,n_continuous,n_datetime,n_expected,n_feature_groups,n_features,n_flags,n_groups,n_high_card_cols,n_id_configured,n_id_in_df,n_ids,n_invalid_raw,n_mismatched,n_missing,n_neg,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_pos,n_preview_cols,n_preview_rows,n_protected,n_renamed_pairs,n_required,n_rows,n_unassigned,n_unexpected,overall_null_pct,pct_invalid_raw,raw_target_col,section,section_name,source_catalog_csv,status,timestamp,top_missing_col,top_missing_pct,total_mem_mb
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,,,,,,info,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,2.0.1,Environment & config readiness preflight,,OK,2025-12-10 15:14:04.989024,,,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4.0,,,,,,,2.0.2,Config & constants validation,,OK,2025-12-10 15:14:05.067606,,,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,,,,,,,,7060427f1f45c838bf6f438273db9607f2cccfd3,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,,OK,2025-12-10 15:14:05.217135,,,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,,,,,,info,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,2.0.4,Dataset snapshot & preview,,OK,2025-12-10 15:14:05.630767,,,6.5061
"Overall missingness, dtype distribution, top-N missing columns",,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,,,,,,info,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,0.0074,,,2.0.5,Row/Column baseline summary (lightweight),,OK,2025-12-10 15:14:05.693975,TotalCharges,0.1562,
Config-driven IDs and protected columns snapshot,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,,,,,,info,,,,,,,0.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,2.0.6,ID & protected columns snapshot,,OK,2025-12-10 15:14:05.814800,,,
Dependency registry build,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,,OK,2025-12-10 15:14:05.990544,,,
Sanity preview printout,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,2025-12-10 15:14:06.048714,,,
Sanity preview printout,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,2025-12-10 15:14:06.115838,,,
Create Churn_flag and validate raw target labels,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",Churn_flag,,,,,,,,,,0.3612,info,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,5174.0,,0.0,,,1869.0,,,,,,7043.0,,,,0.0,Churn,2.1.1,Target variable creation & validation,,OK,2025-12-10 15:14:06.221416,,,
ID & key field verification,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,,OK,2025-12-10 15:14:06.286998,,,
Special-case numeric flags,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,,OK,2025-12-10 15:14:06.336159,,,
Duplicate audit,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,,,,,,0.0,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,,OK,2025-12-10 15:14:06.388133,,,
Duplicate audit preview,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,,,,,,,0.0,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,,OK,2025-12-10 15:14:06.464732,,,
Feature group catalog (column-level),,Feature groups registered for 22 column(s); catalog written to feature_groups_2_1_5.csv.,,feature_groups_2_1_5.csv,feature_groups_2_1_5.json,feature_groups_2_1_5.yaml,,,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,info,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,4.0,,,,0.0,,,,,2.1.5,Feature group registration,,OK,2025-12-10 15:14:06.612004,,,
Feature space config (groups → columns),,"Feature space scaffolding built from feature_groups_2_1_5.csv; JSON: feature_space_2_1_6.json, YAML: feature_space_2_1_6.yaml.",,,,,feature_space_2_1_6.json,feature_space_2_1_6.yaml,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,info,,,,,,,,,,,,,,,,,,22.0,,6.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.1.6,Feature space scaffolding,feature_groups_2_1_5.csv,OK,2025-12-10 15:14:06.668715,,,
Schema-driven dtype alignment (read-only),,Baseline: dtype_baseline_report.csv; Enforcement: dtype_enforcement_report.csv,,,,,,,,,,,,info,,,,,,,,,,,22.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,2.1.7A,Column-type alignment audit (no coercion),,WARN,2025-12-10 15:14:06.724657,,,
Apply SCHEMA_EXPECTED_DTYPES to df (mutable),,Coercion skipped or no applicable columns.,,,,,,,,,,,,info,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.7.5,Optional dtype coercion apply phase,,SKIP,2025-12-10 15:14:06.815696,,,
