column,original_dtype,post_enforcement_dtype,coercion_attempted,coercion_ok,n_coercion_fail,sample_fail_values
customerID,object,object,False,,,
Churn_flag,Int64,Int64,False,,,
SeniorCitizen,int64,int64,False,,,
tenure,int64,int64,False,,,
MonthlyCharges,float64,float64,False,,,
TotalCharges,float64,float64,False,,,
gender,object,object,False,,,
Partner,object,object,False,,,
Dependents,object,object,False,,,
PhoneService,object,object,False,,,
MultipleLines,object,object,False,,,
InternetService,object,object,False,,,
OnlineSecurity,object,object,False,,,
OnlineBackup,object,object,False,,,
DeviceProtection,object,object,False,,,
TechSupport,object,object,False,,,
StreamingTV,object,object,False,,,
StreamingMovies,object,object,False,,,
Contract,object,object,False,,,
PaperlessBilling,object,object,False,,,
PaymentMethod,object,object,False,,,
Churn,object,object,False,,,
