column,expected_dtype,actual_dtype,matches_expected,present_in_df,note
customerID,string,object,False,True,
Churn_flag,Int64,Int64,True,True,
SeniorCitizen,Int64,int64,False,True,
tenure,Int64,int64,False,True,
MonthlyCharges,float64,float64,True,True,
TotalCharges,float64,float64,True,True,
gender,string,object,False,True,
Partner,string,object,False,True,
Dependents,string,object,False,True,
PhoneService,string,object,False,True,
MultipleLines,string,object,False,True,
InternetService,string,object,False,True,
OnlineSecurity,string,object,False,True,
OnlineBackup,string,object,False,True,
DeviceProtection,string,object,False,True,
TechSupport,string,object,False,True,
StreamingTV,string,object,False,True,
StreamingMovies,string,object,False,True,
Contract,string,object,False,True,
PaperlessBilling,string,object,False,True,
PaymentMethod,string,object,False,True,
Churn,string,object,False,True,
