column,dtype_before,n_unique,null_pct
customerID,object,7043,0.0
gender,object,2,0.0
SeniorCitizen,int64,2,0.0
Partner,object,2,0.0
Dependents,object,2,0.0
tenure,int64,73,0.0
PhoneService,object,2,0.0
MultipleLines,object,3,0.0
InternetService,object,3,0.0
OnlineSecurity,object,3,0.0
OnlineBackup,object,3,0.0
DeviceProtection,object,3,0.0
TechSupport,object,3,0.0
StreamingTV,object,3,0.0
StreamingMovies,object,3,0.0
Contract,object,3,0.0
PaperlessBilling,object,2,0.0
PaymentMethod,object,4,0.0
MonthlyCharges,float64,1585,0.0
TotalCharges,float64,6530,0.1561834445548772
Churn,category,2,0.0
Churn_flag,Int8,2,0.0
