column,dtype,n_unique,null_pct,snapshot_ts_utc
customerID,object,7043,0.0,2025-11-20T21:59:29Z
gender,object,2,0.0,2025-11-20T21:59:29Z
SeniorCitizen,int64,2,0.0,2025-11-20T21:59:29Z
Partner,object,2,0.0,2025-11-20T21:59:29Z
Dependents,object,2,0.0,2025-11-20T21:59:29Z
tenure,int64,73,0.0,2025-11-20T21:59:29Z
PhoneService,object,2,0.0,2025-11-20T21:59:29Z
MultipleLines,object,3,0.0,2025-11-20T21:59:29Z
InternetService,object,3,0.0,2025-11-20T21:59:29Z
OnlineSecurity,object,3,0.0,2025-11-20T21:59:29Z
OnlineBackup,object,3,0.0,2025-11-20T21:59:29Z
DeviceProtection,object,3,0.0,2025-11-20T21:59:29Z
TechSupport,object,3,0.0,2025-11-20T21:59:29Z
StreamingTV,object,3,0.0,2025-11-20T21:59:29Z
StreamingMovies,object,3,0.0,2025-11-20T21:59:29Z
Contract,object,3,0.0,2025-11-20T21:59:29Z
PaperlessBilling,object,2,0.0,2025-11-20T21:59:29Z
PaymentMethod,object,4,0.0,2025-11-20T21:59:29Z
MonthlyCharges,float64,1585,0.0,2025-11-20T21:59:29Z
TotalCharges,float64,6530,0.1561834445548772,2025-11-20T21:59:29Z
Churn,category,2,0.0,2025-11-20T21:59:29Z
Churn_flag,Int8,2,0.0,2025-11-20T21:59:29Z
